# 204 genes,
WORMBASE_GENE_ID,Name,Input,Suggested Match,History
WBGene00044081,hypothetical protein(D1086.11),WBGene00044081,WBGene00044081,History: N.A.
WBGene00017265,SNAPc (Small Nuclear RNA Activating Complex) homolog(snpc-1.3),WBGene00017265,WBGene00017265,History: N.A.
WBGene00044547,hypothetical protein(C13A2.12),WBGene00044547,WBGene00044547,History: N.A.
WBGene00001712,GRound-Like (grd related)(grl-3),WBGene00001712,WBGene00001712,History: N.A.
WBGene00022713,hypothetical protein(ZK355.3),WBGene00022713,WBGene00022713,History: N.A.
WBGene00017214,hypothetical protein(F07E5.9),WBGene00017214,WBGene00017214,History: N.A.
WBGene00005079,Serpentine receptor class delta-1(srd-1),WBGene00005079,WBGene00005079,History: N.A.
WBGene00017228,hypothetical protein(F07G11.1),WBGene00017228,WBGene00017228,History: N.A.
WBGene00018671,hypothetical protein(F52C6.14),WBGene00018671,WBGene00018671,History: N.A.
WBGene00017465,hypothetical protein(F14F9.2),WBGene00017465,WBGene00017465,History: N.A.
WBGene00017469,hypothetical protein(F14F9.6),WBGene00017469,WBGene00017469,History: N.A.
WBGene00009431,"DAF-16/FOXO Controlled, germline Tumor affecting(dct-17)",WBGene00009431,WBGene00009431,History: N.A.
WBGene00016786,CYtochrome P450 family(cyp-35A4),WBGene00016786,WBGene00016786,History: N.A.
WBGene00009892,SCP-Like extracellular protein(scl-11),WBGene00009892,WBGene00009892,History: N.A.
WBGene00016863,Carboxylic ester hydrolase(C52A10.2),WBGene00016863,WBGene00016863,History: N.A.
WBGene00015725,hypothetical protein(C13A2.9),WBGene00015725,WBGene00015725,History: N.A.
WBGene00015723,hypothetical protein(C13A2.6),WBGene00015723,WBGene00015723,History: N.A.
WBGene00021183,hypothetical protein(Y9C9A.16),WBGene00021183,WBGene00021183,History: N.A.
WBGene00008575,SCP-Like extracellular protein(scl-24),WBGene00008575,WBGene00008575,History: N.A.
WBGene00000758,COLlagen(col-185),WBGene00000758,WBGene00000758,History: N.A.
WBGene00010206,hypothetical protein(F57G4.1),WBGene00010206,WBGene00010206,"History: Split into F57G4.11(WBGene00195165). History of WBGene00010206: Split into ""WBGene00195165"" on 2010-06-03"
WBGene00007598,hypothetical protein(C15A11.4),WBGene00007598,WBGene00007598,History: N.A.
WBGene00022674,hypothetical protein(ZK177.9),WBGene00022674,WBGene00022674,History: N.A.
WBGene00019016,hypothetical protein(F57F4.2),WBGene00019016,WBGene00019016,History: N.A.
WBGene00019101,hypothetical protein(F59B1.10),WBGene00019101,WBGene00019101,History: N.A.
WBGene00008853,C-type LECtin(clec-101),WBGene00008853,WBGene00008853,History: N.A.
WBGene00000756,COLlagen(col-183),WBGene00000756,WBGene00000756,History: N.A.
WBGene00018997,hypothetical protein(F57B9.3),WBGene00018997,WBGene00018997,History: Renamed on 2005-03-17
WBGene00019379,hypothetical protein(K04A8.10),WBGene00019379,WBGene00019379,History: N.A.
WBGene00001483,Feminization Of Germline(fog-3),WBGene00001483,WBGene00001483,History: N.A.
WBGene00005005,SaPosin-like Protein family(spp-20),WBGene00005005,WBGene00005005,"History: Split into spp-27(WBGene00271815). History of WBGene00005005: Split into ""WBGene00271815"" on 2017-09-21"
WBGene00009811,hypothetical protein(F47B8.10),WBGene00009811,WBGene00009811,History: N.A.
WBGene00021553,TYRosinase(tyr-5),WBGene00021553,WBGene00021553,History: N.A.
WBGene00044206,hypothetical protein(T26H5.9),WBGene00044206,WBGene00044206,History: N.A.
WBGene00018223,BTB and MATH domain containing(bath-13),WBGene00018223,WBGene00018223,History: N.A.
WBGene00020747,hypothetical protein(T24A6.7),WBGene00020747,WBGene00020747,History: N.A.
WBGene00009572,hypothetical protein(F40D4.13),WBGene00009572,WBGene00009572,History: N.A.
WBGene00045475,hypothetical protein(T07A5.7),WBGene00045475,WBGene00045475,History: N.A.
WBGene00015399,CYtochrome P450 family(cyp-35A1),WBGene00015399,WBGene00015399,History: N.A.
WBGene00003545,Zinc metalloproteinase nas-27(nas-27),WBGene00003545,WBGene00003545,History: N.A.
WBGene00012329,"Serpentine Receptor, class E (epsilon)(sre-44)",WBGene00012329,WBGene00012329,History: N.A.
WBGene00044193,hypothetical protein(F47B8.13),WBGene00044193,WBGene00044193,History: N.A.
WBGene00009061,hypothetical protein(F22G12.1),WBGene00009061,WBGene00009061,"History: Split into pals-15(WBGene00044707). History of WBGene00009061: Split into ""WBGene00044707"" on 2006-01-13"
WBGene00005548,"Serpentine Receptor, class I(sri-36)",WBGene00005548,WBGene00005548,History: N.A.
WBGene00000617,Cuticle collagen 40(col-40),WBGene00000617,WBGene00000617,History: N.A.
WBGene00008698,hypothetical protein(F11D11.3),WBGene00008698,WBGene00008698,History: N.A.
WBGene00017382,hypothetical protein(F11D5.5),WBGene00017382,WBGene00017382,History: N.A.
WBGene00000737,COLlagen(col-164),WBGene00000737,WBGene00000737,History: N.A.
