# genelist,criteria,,,
# All CSR-1 targets ≥ 1 RPM,≥ 1 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets 1-50 RPM ,1- 50 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets  50-150 RPM,50-150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets ≥ 150 RPM,≥ 150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 protected targets,log2FC ≤ -0.5 in GRO-seq CSR-1 KO vs CSR-1 ADH,,,
# CSR-1 sliced targets,log2FC ≥1 in RNA-seq CSR-1 ADH vs WT and log2FC ≤-1 total sRNAs CSR-1 ADH vs WT for CSR-1 targets,,,
# HRDE-1 loaded P granule dependent piRNA targets,"≥ 1 RPM in IP and log2FC (IP/Input) ≥ 0.5 AND log2FC (P granule RNAi/control) ≤ -2 AND piRNA-dependent 22G-RNA protein-coding targets (Barucci et.al., 2020)",,,
# gene list used for RSCU based on translation efficiency,,,,
Log2 TE ≤ -3,Unnamed: 1,Input,Suggested Match,History
WBGene00011970,,WBGene00011970,WBGene00011970,History: N.A.
WBGene00001393,,WBGene00001393,WBGene00001393,History: N.A.
WBGene00006732,,WBGene00006732,WBGene00006732,History: N.A.
WBGene00018923,,WBGene00018923,WBGene00018923,History: N.A.
WBGene00009245,,WBGene00009245,WBGene00009245,History: Renamed on 2009-04-22
WBGene00003864,,WBGene00003864,WBGene00003864,History: N.A.
WBGene00006483,,WBGene00006483,WBGene00006483,History: Renamed on 2007-08-01
WBGene00003562,,WBGene00003562,WBGene00003562,History: N.A.
WBGene00019831,,WBGene00019831,WBGene00019831,History: N.A.
WBGene00000867,,WBGene00000867,WBGene00000867,History: N.A.
WBGene00000913,,WBGene00000913,WBGene00000913,History: N.A.
WBGene00004078,,WBGene00004078,WBGene00004078,History: N.A.
WBGene00008274,,WBGene00008274,WBGene00008274,History: Renamed on 2020-01-28
WBGene00012879,,WBGene00012879,WBGene00012879,History: N.A.
WBGene00004984,,WBGene00004984,WBGene00004984,History: N.A.
WBGene00000496,,WBGene00000496,WBGene00000496,History: N.A.
