Gene name,log2FoldChange,Adjusted p-value,Input,Suggested Match,History
WBGene00010720,6.101830428,2.24e-64,WBGene00010720,WBGene00010720,History: N.A.
WBGene00013141,5.823840633,2.18e-12,WBGene00013141,WBGene00013141,History: N.A.
WBGene00003077,5.737654745,2.4e-49,WBGene00003077,WBGene00003077,History: N.A.
WBGene00017999,5.634716624,5.64e-76,WBGene00017999,WBGene00017999,History: N.A.
WBGene00016966,5.560179615,8.6e-43,WBGene00016966,WBGene00016966,History: N.A.
WBGene00013168,5.54903018,5.28e-100,WBGene00013168,WBGene00013168,History: N.A.
WBGene00019010,5.469334024,1.33e-29,WBGene00019010,WBGene00019010,History: N.A.
WBGene00010056,5.464214042,1.56e-105,WBGene00010056,WBGene00010056,History: N.A.
WBGene00018781,5.410604146,3.1800000000000004e-64,WBGene00018781,WBGene00018781,History: N.A.
WBGene00185088,5.320408341,9.87e-58,WBGene00185088,WBGene00185088,History: N.A.
WBGene00016741,5.284707027,4.52e-71,WBGene00016741,WBGene00016741,History: N.A.
WBGene00012643,5.191202939,1.07e-31,WBGene00012643,WBGene00012643,History: N.A.
WBGene00003076,5.187011337,2.36e-60,WBGene00003076,WBGene00003076,History: N.A.
WBGene00010942,5.150237025,4.01e-53,WBGene00010942,WBGene00010942,History: N.A.
WBGene00010583,5.134196419,5.78e-71,WBGene00010583,WBGene00010583,History: N.A.
WBGene00022046,5.092340918,6.090000000000002e-72,WBGene00022046,WBGene00022046,History: N.A.
WBGene00015186,5.083545033,5.17e-70,WBGene00015186,WBGene00015186,History: Renamed on 2016-04-27
WBGene00008005,5.079922487,4.87e-95,WBGene00008005,WBGene00008005,History: Renamed on 2021-12-09
WBGene00004919,5.042173361,4.68e-71,WBGene00004919,WBGene00004919,History: N.A.
WBGene00010080,4.97151134,3.07e-59,WBGene00010080,WBGene00010080,History: N.A.
WBGene00022450,4.968507685,2.35e-38,WBGene00022450,WBGene00022450,History: N.A.
WBGene00001977,4.921546982,1.14e-78,WBGene00001977,WBGene00001977,History: N.A.
WBGene00220155,4.920899702,3.59e-07,WBGene00220155,WBGene00220155,History: N.A.
WBGene00044638,4.916201257,2.88e-70,WBGene00044638,WBGene00044638,History: N.A.
WBGene00004914,4.891930158,1.47e-68,WBGene00004914,WBGene00004914,History: N.A.
