WB.ID,GO.term,Input,Suggested Match,History
WBGene00000465,reproduction GO:0000003,WBGene00000465,WBGene00000465,History: Renamed on 2006-06-16; Renamed on 2008-01-14
WBGene00006755,reproduction GO:0000003,WBGene00006755,WBGene00006755,History: N.A.
WBGene00003421,reproduction GO:0000003,WBGene00003421,WBGene00003421,History: N.A.
WBGene00006379,reproduction GO:0000003,WBGene00006379,WBGene00006379,History: N.A.
WBGene00008140,reproduction GO:0000003,WBGene00008140,WBGene00008140,History: Renamed on 2013-10-11; Renamed on 2015-07-01
WBGene00000867,reproduction GO:0000003,WBGene00000867,WBGene00000867,History: N.A.
WBGene00004887,reproduction GO:0000003,WBGene00004887,WBGene00004887,History: N.A.
WBGene00001653,reproduction GO:0000003,WBGene00001653,WBGene00001653,History: N.A.
WBGene00001137,reproduction GO:0000003,WBGene00001137,WBGene00001137,History: N.A.
WBGene00019712,reproduction GO:0000003,WBGene00019712,WBGene00019712,History: N.A.
WBGene00000866,reproduction GO:0000003,WBGene00000866,WBGene00000866,History: N.A.
WBGene00011280,reproduction GO:0000003,WBGene00011280,WBGene00011280,History: N.A.
WBGene00001005,reproduction GO:0000003,WBGene00001005,WBGene00001005,History: N.A.
WBGene00001867,reproduction GO:0000003,WBGene00001867,WBGene00001867,History: N.A.
WBGene00019822,reproduction GO:0000003,WBGene00019822,WBGene00019822,History: N.A.
WBGene00001748,reproduction GO:0000003,WBGene00001748,WBGene00001748,History: N.A.
WBGene00000592,reproduction GO:0000003,WBGene00000592,WBGene00000592,History: N.A.
WBGene00019630,reproduction GO:0000003,WBGene00019630,WBGene00019630,History: Renamed on 2010-11-24
WBGene00002276,reproduction GO:0000003,WBGene00002276,WBGene00002276,History: N.A.
WBGene00003783,reproduction GO:0000003,WBGene00003783,WBGene00003783,History: N.A.
WBGene00011062,reproduction GO:0000003,WBGene00011062,WBGene00011062,History: N.A.
WBGene00020068,reproduction GO:0000003,WBGene00020068,WBGene00020068,History: N.A.
