Gene name,log2FoldChange,Adjusted p-value,Input,Suggested Match,History
WBGene00009206,5.121190929,1.95e-34,WBGene00009206,WBGene00009206,History: N.A.
WBGene00201542,4.634350356,2.0899999999999997e-23,WBGene00201542,WBGene00201542,History: N.A.
WBGene00019814,3.522744521,3.0699999999999998e-24,WBGene00019814,WBGene00019814,History: N.A.
WBGene00007282,3.412717337,5.35e-49,WBGene00007282,WBGene00007282,History: N.A.
WBGene00020231,3.387382618,6.4e-12,WBGene00020231,WBGene00020231,History: N.A.
WBGene00206497,3.365133609,0.0,WBGene00206497,WBGene00206497,History: N.A.
WBGene00009474,3.346036773,8.91e-12,WBGene00009474,WBGene00009474,History: N.A.
WBGene00201019,3.302231159,1.41e-34,WBGene00201019,WBGene00201019,History: N.A.
WBGene00022307,3.258168402,9.33e-75,WBGene00022307,WBGene00022307,History: N.A.
WBGene00016347,3.176237181,8.48e-22,WBGene00016347,WBGene00016347,History: N.A.
WBGene00007485,3.114769534,1.22e-14,WBGene00007485,WBGene00007485,History: N.A.
WBGene00012100,3.094001381,1.6599999999999994e-54,WBGene00012100,WBGene00012100,History: N.A.
WBGene00010733,3.071011962,2.82e-18,WBGene00010733,WBGene00010733,History: N.A.
WBGene00018711,3.040904414,9.26e-41,WBGene00018711,WBGene00018711,History: N.A.
WBGene00019623,3.008825408,1.59e-22,WBGene00019623,WBGene00019623,History: N.A.
WBGene00021483,2.978213585,2.95e-26,WBGene00021483,WBGene00021483,History: N.A.
WBGene00010067,2.971366877,8.41e-74,WBGene00010067,WBGene00010067,History: N.A.
WBGene00013162,2.953577846,7.1e-99,WBGene00013162,WBGene00013162,History: N.A.
WBGene00018202,2.939388876,2.6199999999999993e-55,WBGene00018202,WBGene00018202,History: N.A.
WBGene00022129,2.937890294,2.93e-74,WBGene00022129,WBGene00022129,History: N.A.
WBGene00010854,2.929238256,5.32e-14,WBGene00010854,WBGene00010854,History: N.A.
WBGene00010868,2.919100014,3.07e-20,WBGene00010868,WBGene00010868,History: N.A.
WBGene00013221,2.903960377,5.64e-256,WBGene00013221,WBGene00013221,History: N.A.
WBGene00019303,2.878182936,1.07e-257,WBGene00019303,WBGene00019303,History: N.A.
WBGene00012967,2.860216142,6.940000000000001e-31,WBGene00012967,WBGene00012967,History: N.A.
WBGene00045215,2.852152289,2.12e-10,WBGene00045215,WBGene00045215,History: N.A.
WBGene00012504,2.833996657,7.850000000000001e-35,WBGene00012504,WBGene00012504,History: N.A.
WBGene00043534,2.82620816,1.13e-20,WBGene00043534,WBGene00043534,History: Killed on 2004-10-04; Resurrected on 2007-01-29
WBGene00017182,2.82392486,4.91e-12,WBGene00017182,WBGene00017182,History: N.A.
WBGene00002048,2.817963992,4.55e-25,WBGene00002048,WBGene00002048,History: N.A.
WBGene00010722,2.798082089,3.72e-15,WBGene00010722,WBGene00010722,History: N.A.
WBGene00196388,2.796771473,4.27e-26,WBGene00196388,WBGene00196388,History: N.A.
WBGene00000660,2.787795967,5.820000000000001e-21,WBGene00000660,WBGene00000660,History: N.A.
WBGene00019816,2.779817544,1.52e-10,WBGene00019816,WBGene00019816,History: N.A.
WBGene00022438,2.757088962,5.169999999999999e-23,WBGene00022438,WBGene00022438,History: N.A.
WBGene00013485,2.755833734,9.77e-19,WBGene00013485,WBGene00013485,History: N.A.
WBGene00044460,2.743461706,2.98e-11,WBGene00044460,WBGene00044460,History: N.A.
WBGene00012387,2.741927255,1e-12,WBGene00012387,WBGene00012387,History: N.A.
WBGene00013163,2.729712357,1.83e-179,WBGene00013163,WBGene00013163,History: N.A.
WBGene00021987,2.719035613,6.5499999999999995e-170,WBGene00021987,WBGene00021987,"History: Split into Y59E1A.4(WBGene00304826). History of WBGene00021987: Split into ""WBGene00304826"" on 2019-07-25"
WBGene00011326,2.715429007,8.17e-20,WBGene00011326,WBGene00011326,"History: Split into ""WBGene00045409"" on 2007-05-02"
WBGene00015368,2.711017101,3.18e-19,WBGene00015368,WBGene00015368,History: N.A.
WBGene00008527,2.709565631,6.98e-19,WBGene00008527,WBGene00008527,History: N.A.
WBGene00010572,2.701560888,8.63e-24,WBGene00010572,WBGene00010572,History: Renamed on 2010-07-27
WBGene00020832,2.698881216,5.74e-56,WBGene00020832,WBGene00020832,History: N.A.
WBGene00236806,2.692491789,1.32e-83,WBGene00236806,WBGene00236806,History: N.A.
WBGene00013403,2.688836535,2.07e-16,WBGene00013403,WBGene00013403,History: N.A.
WBGene00003111,2.682728441,2.8200000000000003e-22,WBGene00003111,WBGene00003111,History: N.A.
WBGene00021893,2.672672728,1.53e-23,WBGene00021893,WBGene00021893,History: N.A.
WBGene00020944,2.660136625,5.89e-10,WBGene00020944,WBGene00020944,History: N.A.
WBGene00009657,2.655098937,6.34e-11,WBGene00009657,WBGene00009657,History: N.A.
WBGene00019739,2.648853598,3.22e-34,WBGene00019739,WBGene00019739,History: N.A.
WBGene00018496,2.642808873,4.84e-267,WBGene00018496,WBGene00018496,History: N.A.
WBGene00220258,2.6256808,9.75e-282,WBGene00220258,WBGene00220258,History: N.A.
WBGene00019529,2.625141095,7.120000000000001e-29,WBGene00019529,WBGene00019529,History: N.A.
WBGene00013440,2.619007532,2.19e-78,WBGene00013440,WBGene00013440,History: N.A.
WBGene00019517,2.618707734,7.939999999999999e-138,WBGene00019517,WBGene00019517,History: N.A.
WBGene00019545,2.612925391,4.84e-35,WBGene00019545,WBGene00019545,History: N.A.
WBGene00044482,2.611459322,4.89e-13,WBGene00044482,WBGene00044482,History: N.A.
WBGene00000951,2.609166276,3.04e-12,WBGene00000951,WBGene00000951,History: N.A.
WBGene00018716,2.599653517,1.16e-09,WBGene00018716,WBGene00018716,History: N.A.
WBGene00007845,2.596252914,7.51e-09,WBGene00007845,WBGene00007844,"History: Merged into ""WBGene00007844"" on 2019-05-20"
WBGene00044268,2.594962975,3.9e-23,WBGene00044268,WBGene00044268,History: N.A.
WBGene00044212,2.592586841,2.87e-09,WBGene00044212,WBGene00044212,History: N.A.
WBGene00017415,2.592559643,1.21e-22,WBGene00017415,WBGene00017415,History: N.A.
WBGene00000759,2.588288993,7.35e-12,WBGene00000759,WBGene00000759,History: N.A.
WBGene00018771,2.583857811,1.14e-32,WBGene00018771,WBGene00018771,History: N.A.
WBGene00194675,2.581849388,2.13e-20,WBGene00194675,WBGene00194675,History: N.A.
WBGene00021750,2.581088478,1.66e-156,WBGene00021750,WBGene00021750,History: N.A.
WBGene00012272,2.571802554,4.57e-39,WBGene00012272,WBGene00012272,History: N.A.
WBGene00004933,2.570938935,6.83e-10,WBGene00004933,WBGene00004933,History: N.A.
WBGene00009579,2.568999726,1.08e-21,WBGene00009579,WBGene00009579,History: N.A.
WBGene00019903,2.563463085,4.47e-14,WBGene00019903,WBGene00019903,History: N.A.
WBGene00010148,2.560285448,1.46e-10,WBGene00010148,WBGene00010148,History: N.A.
WBGene00021039,2.560120846,4.88e-19,WBGene00021039,WBGene00021039,"History: Split into W05F2.8(WBGene00195045). History of WBGene00021039: Split into ""WBGene00195045"" on 2010-03-10"
WBGene00023236,2.558247187,2.19e-18,WBGene00023236,WBGene00023236,History: N.A.
WBGene00009310,2.555734097,1.63e-91,WBGene00009310,WBGene00009310,History: N.A.
WBGene00001025,2.55237626,5.639999999999999e-119,WBGene00001025,WBGene00001025,History: N.A.
WBGene00017310,2.549905112,5.509999999999999e-48,WBGene00017310,WBGene00017310,History: N.A.
WBGene00017948,2.549698605,6.8e-10,WBGene00017948,WBGene00017948,History: N.A.
WBGene00017632,2.545963632,9.78e-54,WBGene00017632,WBGene00017632,History: N.A.
WBGene00019735,2.541295573,2.6e-56,WBGene00019735,WBGene00019735,History: N.A.
WBGene00019030,2.535910765,3.64e-13,WBGene00019030,WBGene00019030,History: Renamed on 2006-06-29; Renamed on 2013-07-04
WBGene00004352,2.535538674,1.05e-21,WBGene00004352,WBGene00004352,History: N.A.
WBGene00045277,2.534170227,1.89e-10,WBGene00045277,WBGene00045277,History: N.A.
WBGene00010045,2.533506979,1.85e-08,WBGene00010045,WBGene00010045,History: N.A.
WBGene00006384,2.528503027,2.83e-77,WBGene00006384,WBGene00006384,History: N.A.
WBGene00016183,2.528105455,1.07e-89,WBGene00016183,WBGene00016183,History: N.A.
WBGene00020971,2.525605701,8.33e-16,WBGene00020971,WBGene00020971,History: N.A.
WBGene00022446,2.522808945,1.97e-12,WBGene00022446,WBGene00022446,History: N.A.
WBGene00016072,2.520456757,6e-159,WBGene00016072,WBGene00016072,History: N.A.
WBGene00015303,2.518538354,1.94e-09,WBGene00015303,WBGene00015303,History: N.A.
WBGene00010158,2.512221035,2.82e-10,WBGene00010158,WBGene00010158,History: N.A.
WBGene00008517,2.511326975,1.06e-234,WBGene00008517,WBGene00008517,History: N.A.
WBGene00268204,2.510225479,7.83e-12,WBGene00268204,WBGene00268204,History: N.A.
WBGene00007119,2.505207171,3.37e-17,WBGene00007119,WBGene00007119,History: N.A.
WBGene00001178,2.503612367,3.79e-28,WBGene00001178,WBGene00001178,History: N.A.
WBGene00001523,2.501748956,1.86e-33,WBGene00001523,WBGene00001523,History: N.A.
WBGene00021458,2.495690632,9.27e-28,WBGene00021458,WBGene00021458,History: N.A.
WBGene00000648,2.495404178,1.46e-08,WBGene00000648,WBGene00000648,History: N.A.
WBGene00013509,2.491452691,1.69e-11,WBGene00013509,WBGene00013509,History: N.A.
WBGene00019365,2.489411213,9.06e-09,WBGene00019365,WBGene00019365,History: N.A.
WBGene00022315,2.486182144,2.26e-178,WBGene00022315,WBGene00022315,History: N.A.
WBGene00001202,2.486013597,4.05e-28,WBGene00001202,WBGene00001202,History: N.A.
WBGene00007242,2.485480686,8.37e-76,WBGene00007242,WBGene00007242,History: N.A.
WBGene00007218,2.475616632,4.1799999999999997e-135,WBGene00007218,WBGene00007218,History: N.A.
WBGene00010864,2.474052804,1.4600000000000002e-26,WBGene00010864,WBGene00010864,History: N.A.
WBGene00008819,2.472990947,1.21e-14,WBGene00008819,WBGene00008819,History: N.A.
WBGene00004227,2.472965468,3.81e-34,WBGene00004227,WBGene00004227,History: N.A.
WBGene00013450,2.472143696,3.9300000000000003e-57,WBGene00013450,WBGene00013450,History: N.A.
WBGene00018965,2.463615757,1.09e-47,WBGene00018965,WBGene00018965,History: N.A.
WBGene00002991,2.459787994,5.65e-21,WBGene00002991,WBGene00002991,History: N.A.
WBGene00018315,2.458504999,2.52e-25,WBGene00018315,WBGene00018315,"History: Split into F41H10.1(WBGene00018314). History of WBGene00018315: Split into ""WBGene00018314"" on 2014-06-11"
WBGene00206530,2.456063384,1.3e-25,WBGene00206530,WBGene00206530,History: N.A.
WBGene00020648,2.45599691,1.84e-10,WBGene00020648,WBGene00020648,"History: Split into T21D12.14(WBGene00045177). History of WBGene00020648: Split into ""WBGene00045177"" on 2006-12-04"
WBGene00017241,2.454227568,4.17e-14,WBGene00017241,WBGene00017241,History: N.A.
WBGene00045098,2.45386809,1.92e-23,WBGene00045098,WBGene00045098,History: N.A.
WBGene00017532,2.45003766,2.47e-11,WBGene00017532,WBGene00017532,History: N.A.
WBGene00012854,2.449313776,1.52e-10,WBGene00012854,WBGene00012854,History: N.A.
WBGene00004827,2.446433828,9.3e-24,WBGene00004827,WBGene00004827,History: N.A.
WBGene00006810,2.445594081,5.04e-48,WBGene00006810,WBGene00006810,History: N.A.
WBGene00017118,2.442928362,5.33e-29,WBGene00017118,WBGene00017118,History: N.A.
WBGene00023238,2.442158154,1.4e-11,WBGene00023238,WBGene00023238,History: N.A.
WBGene00003593,2.440646426,3.24e-127,WBGene00003593,WBGene00003593,History: N.A.
