# Note: The workbook which this sheet was a part of contained links which did not update.
gene,OP50_N2_1,OP50_N2_1(rpm),OP50_N2_2,OP50_N2_2(rpm),OP50_hj41_1,OP50_hj41_1(rpm),OP50_hj41_2,OP50_hj41_2(rpm),average of OP50_N2,average of OP50_hj41,average rpm of OP50_N2,average rpm of OP50_hj41,Input,Suggested Match,History
Y74C9A.3,147,5.3135224012321,136,4.88518012718782,157,4.62909494677676,127,4.86931767401667,141.5,142.0,5.09935126420996,4.74920631039671,Y74C9A.3,WBGene00022277,Sequence name for WBGene00022277(homt-1). History: N.A.
T06E6.1,888,32.098012872749,1067,38.3271117331574,1223,36.0597650949553,1017,38.9928824761807,977.5,1120.0,35.2125623029532,37.526323785568,T06E6.1,WBGene00011538,Public name for WBGene00011538. History: N.A.
Y48G1C.2,456,16.4827633670873,480,17.2418122136041,631,18.604833830676,489,18.7487900991665,468.0,560.0,16.8622877903457,18.6768119649213,Y48G1C.2,WBGene00000812,Sequence name for WBGene00000812(csk-1). History: N.A.
Y39G10AR.18,1027,37.1223639868392,1141,40.9852244494213,1231,36.2956425444726,1019,39.0695646442754,1084.0,1125.0,39.0537942181303,37.682603594374,Y39G10AR.18,WBGene00021474,Sequence name for WBGene00021474(dot-1.1). History: N.A.
F52A8.6,540,19.5190618820771,575,20.6542542142132,728,21.4648479060731,572,21.9311000750987,557.5,650.0,20.0866580481452,21.6979739905859,F52A8.6,WBGene00009919,Sequence name for WBGene00009919(kbrl-1). History: N.A.
K10E9.1,1396,50.4603896062586,1623,58.2988775472488,1911,56.345225753442,1528,58.5851764243895,1509.5,1719.5,54.3796335767537,57.4652010889157,K10E9.1,WBGene00000227,"Public name for Dead gene WBGene00019634. History of WBGene00019634: Merged into ""WBGene00000227"" on 2012-06-25"
R13H4.4,596,21.5432608920703,616,22.1269923407919,760,22.4083577041423,608,23.3113791008042,606.0,684.0,21.8351266164311,22.8598684024732,R13H4.4,WBGene00001978,Sequence name for WBGene00001978(hmp-1). History: N.A.
Y32B12B.2,869,31.411231065787,905,32.508000111066,1045,30.8114918431956,920,35.2737973235853,887.0,982.5,31.9596155884265,33.0426445833905,Y32B12B.2,WBGene00012522,Public name for WBGene00012522. History: N.A.
Y48G1BL.1,3897,140.86256324899,4683,168.215430408975,6432,189.645469411899,5157,197.724970432315,4290.0,5794.5,154.538996828982,193.685219922107,Y48G1BL.1,WBGene00021662,"Sequence name for WBGene00021662(snpc-3.3). History: Split into Y48G1BL.8(WBGene00255594). History of WBGene00021662: Split into ""WBGene00255594"" on 2014-09-03"
C53D5.6,1241,44.8576959178846,1443,51.8331979671472,1980,58.3796687555286,1656,63.4928351824535,1342.0,1818.0,48.3454469425159,60.936251968991,C53D5.6,WBGene00002077,Sequence name for WBGene00002077(imb-3). History: N.A.
