Gene name,log2FoldChange,Adjusted p-value,Input,Suggested Match,History
WBGene00220155,6.644516192,3.17e-134,WBGene00220155,WBGene00220155,History: N.A.
WBGene00014205,6.111664714,5.74e-226,WBGene00014205,WBGene00014205,History: N.A.
WBGene00016741,5.5330921,3.47e-184,WBGene00016741,WBGene00016741,History: N.A.
WBGene00016966,5.263995983,1.67e-140,WBGene00016966,WBGene00016966,History: N.A.
WBGene00013553,5.262983412,3.26e-92,WBGene00013553,WBGene00013553,History: N.A.
WBGene00017999,5.239230985,1.0400000000000002e-213,WBGene00017999,WBGene00017999,History: N.A.
WBGene00012647,5.042140764,1.8500000000000002e-72,WBGene00012647,WBGene00012647,History: N.A.
WBGene00044323,4.987147264,1.52e-177,WBGene00044323,WBGene00044323,History: N.A.
WBGene00010720,4.89069123,2.5900000000000002e-169,WBGene00010720,WBGene00010720,History: N.A.
WBGene00185088,4.862010759,1.6e-106,WBGene00185088,WBGene00185088,History: N.A.
WBGene00001365,4.619659787,1.27e-199,WBGene00001365,WBGene00001365,History: N.A.
WBGene00007762,4.563816256,5.89e-232,WBGene00007762,WBGene00007762,History: N.A.
WBGene00008440,4.555242499,4.38e-142,WBGene00008440,WBGene00008440,History: N.A.
WBGene00044638,4.510457982,1.62e-232,WBGene00044638,WBGene00044638,History: N.A.
WBGene00021189,4.500959398,8.74e-70,WBGene00021189,,History: Killed on 2018-11-14. Remark: 192mer repeat region only
WBGene00202343,4.498568229,9.38e-24,WBGene00202343,WBGene00202343,History: N.A.
WBGene00044794,4.453006692,1.49e-23,WBGene00044794,WBGene00044794,History: N.A.
WBGene00043984,4.450346744,5.55e-75,WBGene00043984,WBGene00043984,History: N.A.
WBGene00003076,4.447353959,2.92e-151,WBGene00003076,WBGene00003076,History: N.A.
WBGene00189986,4.443250363,3.22e-50,WBGene00189986,WBGene00189986,History: N.A.
WBGene00044204,4.425923797,2.29e-99,WBGene00044204,WBGene00044204,History: N.A.
WBGene00019005,4.392815218,8.49e-52,WBGene00019005,WBGene00019005,History: N.A.
WBGene00010480,4.387873391,4.61e-155,WBGene00010480,WBGene00010480,History: N.A.
WBGene00008688,4.383831021,1.69e-146,WBGene00008688,WBGene00008688,History: N.A.
WBGene00015186,4.376635558,2.3000000000000003e-162,WBGene00015186,WBGene00015186,History: Renamed on 2016-04-27
WBGene00235206,4.374890295,4.769999999999999e-48,WBGene00235206,WBGene00235206,History: N.A.
WBGene00007443,4.337382578,5.36e-74,WBGene00007443,WBGene00007443,History: N.A.
WBGene00001831,4.31552967,4.750000000000001e-156,WBGene00001831,WBGene00001831,History: N.A.
WBGene00013168,4.275444137,2.28e-206,WBGene00013168,WBGene00013168,History: N.A.
WBGene00006730,4.27278284,3.26e-92,WBGene00006730,WBGene00006730,History: N.A.
WBGene00001154,4.270221916,2.04e-90,WBGene00001154,WBGene00001154,History: N.A.
WBGene00018781,4.265663365,8.3e-234,WBGene00018781,WBGene00018781,History: N.A.
WBGene00001005,4.263360231,5.98e-136,WBGene00001005,WBGene00001005,History: N.A.
WBGene00017210,4.24931519,8e-99,WBGene00017210,WBGene00017210,History: N.A.
WBGene00022046,4.244143709,1.33e-170,WBGene00022046,WBGene00022046,History: N.A.
WBGene00220015,4.240899661,2.24e-66,WBGene00220015,WBGene00220015,History: N.A.
WBGene00004838,4.225140037,6.87e-50,WBGene00004838,WBGene00004838,History: Renamed on 2008-09-15
WBGene00001977,4.217249964,2.43e-239,WBGene00001977,WBGene00001977,History: N.A.
WBGene00010056,4.214729016,5.1899999999999996e-219,WBGene00010056,WBGene00010056,History: N.A.
WBGene00003951,4.204425437,7.86e-187,WBGene00003951,WBGene00003951,History: N.A.
WBGene00011391,4.175795103,1.45e-89,WBGene00011391,WBGene00011391,History: N.A.
WBGene00021932,4.159244272,1.83e-127,WBGene00021932,WBGene00021932,History: N.A.
WBGene00019010,4.149929554,2.8199999999999996e-89,WBGene00019010,WBGene00019010,History: N.A.
WBGene00013270,4.138178769,2.14e-189,WBGene00013270,WBGene00013270,History: N.A.
WBGene00003077,4.133091732,9.439999999999999e-61,WBGene00003077,WBGene00003077,History: N.A.
WBGene00016524,4.127699323,1.09e-134,WBGene00016524,WBGene00016524,History: N.A.
WBGene00009508,4.118886524,7.06e-117,WBGene00009508,WBGene00009508,History: N.A.
WBGene00017735,4.106606057,4.18e-128,WBGene00017735,WBGene00017735,History: N.A.
WBGene00016145,4.102733316,2.86e-96,WBGene00016145,WBGene00016145,History: N.A.
WBGene00003236,4.102402387,6.709999999999999e-52,WBGene00003236,WBGene00003236,History: N.A.
WBGene00003660,4.100221264,6.8100000000000014e-43,WBGene00003660,WBGene00003660,History: N.A.
WBGene00019825,4.094336602,3.52e-63,WBGene00019825,WBGene00019825,History: N.A.
WBGene00010232,4.074150457,1.57e-189,WBGene00010232,WBGene00010232,History: N.A.
WBGene00004323,4.073161296,1.6e-184,WBGene00004323,WBGene00004323,History: N.A.
WBGene00006381,4.066337211,3.73e-199,WBGene00006381,WBGene00006381,History: N.A.
WBGene00022450,4.061928831,1.14e-83,WBGene00022450,WBGene00022450,History: N.A.
WBGene00003218,4.059709321,6.59e-194,WBGene00003218,WBGene00003218,History: N.A.
WBGene00009219,4.057231928,1.96e-47,WBGene00009219,WBGene00009219,History: N.A.
WBGene00010616,4.056169605,1.01e-94,WBGene00010616,WBGene00010616,History: N.A.
WBGene00196376,4.055135791,1.49e-26,WBGene00196376,WBGene00196376,History: N.A.
WBGene00010476,4.050896464,2.46e-111,WBGene00010476,WBGene00010476,History: Renamed on 2008-08-22
WBGene00010583,4.049964318,4.81e-174,WBGene00010583,WBGene00010583,History: N.A.
WBGene00001018,4.049808955,1.8e-106,WBGene00001018,WBGene00001018,History: N.A.
WBGene00002226,4.049748812,1.97e-243,WBGene00002226,WBGene00002226,History: N.A.
WBGene00020030,4.043570217,1.07e-139,WBGene00020030,WBGene00020030,History: N.A.
WBGene00008934,4.043094715,4.81e-175,WBGene00008934,WBGene00008934,History: N.A.
WBGene00004919,4.042429567,4.04e-115,WBGene00004919,WBGene00004919,History: N.A.
WBGene00013689,4.040407522,7.769999999999998e-128,WBGene00013689,WBGene00013689,History: N.A.
WBGene00001233,4.039899399,7.07e-132,WBGene00001233,WBGene00001233,History: N.A.
WBGene00009025,4.035695894,3.48e-97,WBGene00009025,WBGene00009025,History: N.A.
WBGene00004916,4.025470883,1.32e-137,WBGene00004916,WBGene00004916,History: N.A.
WBGene00007062,4.02170834,4.22e-45,WBGene00007062,WBGene00007062,History: Renamed on 2008-01-18
WBGene00021920,4.018053041,2.26e-87,WBGene00021920,WBGene00021920,History: N.A.
WBGene00022118,3.99110419,5.400000000000001e-44,WBGene00022118,WBGene00022118,History: N.A.
WBGene00004355,3.985243627,7.0099999999999994e-180,WBGene00004355,WBGene00004355,History: N.A.
WBGene00013529,3.98473592,2.0800000000000002e-110,WBGene00013529,WBGene00013529,History: Renamed on 2021-12-09
WBGene00010942,3.980898169,1.17e-57,WBGene00010942,WBGene00010942,History: N.A.
WBGene00000889,3.979064376,8.93e-122,WBGene00000889,WBGene00000889,History: N.A.
WBGene00022774,3.970888963,5.169999999999999e-180,WBGene00022774,WBGene00022774,History: Renamed on 2011-02-11
WBGene00006709,3.9675903,1.58e-51,WBGene00006709,WBGene00006709,History: N.A.
WBGene00011043,3.960902318,2.9099999999999997e-137,WBGene00011043,WBGene00011043,History: N.A.
WBGene00044077,3.957129088,2.28e-206,WBGene00044077,WBGene00044077,History: Renamed on 2019-07-15
WBGene00011282,3.953901551,1.78e-196,WBGene00011282,WBGene00011282,History: N.A.
WBGene00001436,3.95007823,1.08e-26,WBGene00001436,WBGene00001436,"History: Split into C29F7.10(WBGene00206389). History of WBGene00001436: Split into ""WBGene00206389"" on 2011-01-21"
WBGene00001372,3.944505039,5.89e-118,WBGene00001372,WBGene00001372,History: N.A.
WBGene00002324,3.940648546,6.600000000000001e-111,WBGene00002324,WBGene00002324,History: N.A.
WBGene00013532,3.940302279,1.27e-160,WBGene00013532,WBGene00013532,History: N.A.
WBGene00021186,3.939289387,9.5e-101,WBGene00021186,WBGene00021186,History: N.A.
WBGene00004914,3.93925285,3.5899999999999996e-140,WBGene00004914,WBGene00004914,History: N.A.
WBGene00020770,3.938844919,5.15e-91,WBGene00020770,WBGene00020770,History: Renamed on 2013-07-17
WBGene00009294,3.932658573,1.15e-30,WBGene00009294,WBGene00009294,History: N.A.
WBGene00007617,3.932496014,1.53e-152,WBGene00007617,WBGene00007617,History: N.A.
WBGene00016453,3.927482892,2.3099999999999998e-39,WBGene00016453,WBGene00016453,History: N.A.
WBGene00017238,3.916560652,2.26e-96,WBGene00017238,WBGene00017238,History: N.A.
WBGene00006503,3.911398901,1.03e-58,WBGene00006503,WBGene00006503,History: Renamed on 2007-07-20
WBGene00018327,3.909678252,3.02e-41,WBGene00018327,WBGene00018327,History: N.A.
WBGene00022027,3.908956927,2.84e-86,WBGene00022027,WBGene00022027,History: N.A.
WBGene00009013,3.905367068,1.9100000000000003e-79,WBGene00009013,WBGene00009013,History: N.A.
WBGene00022386,3.89370523,4.17e-35,WBGene00022386,WBGene00022386,History: N.A.
WBGene00013141,3.892920981,9.43e-61,WBGene00013141,WBGene00013141,History: N.A.
WBGene00006440,3.892799969,9.67e-181,WBGene00006440,WBGene00006440,History: Renamed on 2021-04-19
WBGene00001862,3.88058859,5.33e-155,WBGene00001862,WBGene00001862,History: N.A.
WBGene00012676,3.879009058,4.42e-150,WBGene00012676,WBGene00012676,History: N.A.
WBGene00014016,3.877285252,2.8e-76,WBGene00014016,WBGene00014016,History: N.A.
WBGene00017319,3.876201759,3.04e-125,WBGene00017319,WBGene00017319,History: N.A.
WBGene00012150,3.870277169,4.86e-98,WBGene00012150,WBGene00012150,History: N.A.
WBGene00019898,3.866614287,3.84e-111,WBGene00019898,WBGene00019898,History: N.A.
WBGene00021829,3.865344232,2.73e-66,WBGene00021829,WBGene00021829,History: N.A.
WBGene00006817,3.863545827,4.78e-177,WBGene00006817,WBGene00006817,History: Renamed on 2008-06-05
WBGene00007500,3.863086229,3.83e-125,WBGene00007500,WBGene00007500,History: N.A.
WBGene00002225,3.862866034,9.55e-222,WBGene00002225,WBGene00002225,History: N.A.
WBGene00013804,3.861699142,7.84e-73,WBGene00013804,WBGene00013804,History: N.A.
WBGene00015347,3.859348519,1.1e-117,WBGene00015347,WBGene00015347,History: N.A.
WBGene00201786,3.858774063,2.54e-21,WBGene00201786,WBGene00201786,History: N.A.
WBGene00219949,3.853985095,2.53e-19,WBGene00219949,WBGene00219949,History: N.A.
WBGene00000763,3.849162251,3.4400000000000002e-155,WBGene00000763,WBGene00000763,History: N.A.
WBGene00007554,3.844317364,6.65e-154,WBGene00007554,WBGene00007554,History: N.A.
WBGene00013688,3.843683349,4.36e-107,WBGene00013688,WBGene00013688,History: N.A.
WBGene00018762,3.838120329,2.57e-103,WBGene00018762,WBGene00018762,History: N.A.
WBGene00219619,3.836149351,7.28e-64,WBGene00219619,WBGene00219619,History: N.A.
WBGene00012780,3.82703575,6.33e-28,WBGene00012780,WBGene00012780,History: N.A.
WBGene00022783,3.825570938,4.74e-35,WBGene00022783,WBGene00022783,History: N.A.
WBGene00194995,3.824992474,8.68e-40,WBGene00194995,WBGene00194995,History: N.A.
WBGene00004271,3.819608304,4.56e-97,WBGene00004271,WBGene00004271,History: N.A.
WBGene00010844,3.81360839,9.269999999999999e-137,WBGene00010844,WBGene00010844,History: N.A.
WBGene00004266,3.809170678,3.2899999999999997e-113,WBGene00004266,WBGene00004266,History: N.A.
WBGene00009444,3.804889582,1.6099999999999999e-106,WBGene00009444,WBGene00009444,History: N.A.
WBGene00000208,3.801146261,8.45e-90,WBGene00000208,WBGene00000208,History: Renamed on 2017-11-13
WBGene00007579,3.796048431,2.84e-90,WBGene00007579,WBGene00007579,History: N.A.
WBGene00017268,3.792079762,6.91e-165,WBGene00017268,WBGene00017268,History: N.A.
WBGene00011788,3.790838009,4.47e-113,WBGene00011788,WBGene00011788,History: N.A.
WBGene00013151,3.784899319,4.02e-70,WBGene00013151,WBGene00013151,"History: Split into metl-2(WBGene00044720). History of WBGene00013151: Split into ""WBGene00044720"" on 2006-01-16"
WBGene00009946,3.779215186,2.32e-115,WBGene00009946,WBGene00009946,History: N.A.
WBGene00013349,3.774025168,7.41e-83,WBGene00013349,WBGene00013349,History: N.A.
WBGene00016323,3.772661494,1.13e-77,WBGene00016323,WBGene00016323,History: N.A.
WBGene00012672,3.771952292,6.09e-41,WBGene00012672,WBGene00012672,History: N.A.
WBGene00010037,3.769534058,8.55e-165,WBGene00010037,WBGene00010037,History: N.A.
WBGene00018305,3.766598814,4.6499999999999985e-115,WBGene00018305,WBGene00018305,History: N.A.
WBGene00016317,3.76487387,9.39e-177,WBGene00016317,WBGene00016317,History: N.A.
WBGene00006711,3.75255146,1.12e-72,WBGene00006711,WBGene00006711,History: N.A.
WBGene00012136,3.750306604,4.55e-81,WBGene00012136,WBGene00012136,History: N.A.
WBGene00001949,3.74760174,1.36e-31,WBGene00001949,WBGene00001949,History: N.A.
WBGene00001060,3.744956177,3.67e-115,WBGene00001060,WBGene00001060,History: N.A.
WBGene00009918,3.742757233,1.58e-66,WBGene00009918,WBGene00009918,History: N.A.
WBGene00018509,3.741333582,3.8500000000000006e-115,WBGene00018509,WBGene00018509,History: N.A.
WBGene00007195,3.737967899,8.43e-112,WBGene00007195,WBGene00007195,History: N.A.
WBGene00021813,3.737567973,5.25e-89,WBGene00021813,WBGene00021813,History: N.A.
WBGene00021366,3.736153041,6.52e-78,WBGene00021366,WBGene00021366,History: N.A.
WBGene00019724,3.72709217,2.36e-53,WBGene00019724,WBGene00019724,History: N.A.
WBGene00017988,3.722803815,6.7e-129,WBGene00017988,WBGene00017988,History: N.A.
WBGene00020189,3.720198684,1.47e-80,WBGene00020189,WBGene00020189,History: N.A.
WBGene00219279,3.718630773,1.46e-41,WBGene00219279,WBGene00219279,History: N.A.
WBGene00012148,3.714254099,1.67e-183,WBGene00012148,WBGene00012148,History: N.A.
WBGene00019129,3.712404543,1.17e-119,WBGene00019129,WBGene00019129,History: N.A.
WBGene00200054,3.710102006,9.88e-39,WBGene00200054,WBGene00200054,History: N.A.
WBGene00022719,3.707775838,1.56e-105,WBGene00022719,WBGene00022719,History: N.A.
WBGene00008005,3.704363549,6.92e-174,WBGene00008005,WBGene00008005,History: Renamed on 2021-12-09
WBGene00010437,3.701569675,5.779999999999999e-67,WBGene00010437,WBGene00010437,History: N.A.
WBGene00022599,3.693482785,4.86e-132,WBGene00022599,WBGene00022599,History: N.A.
WBGene00021838,3.69314224,1.13e-45,WBGene00021838,WBGene00021838,History: N.A.
WBGene00013724,3.690947873,1.53e-81,WBGene00013724,WBGene00013724,History: N.A.
WBGene00017701,3.690570998,2.9e-18,WBGene00017701,WBGene00017701,History: N.A.
WBGene00012436,3.685252071,3.15e-38,WBGene00012436,WBGene00012436,History: N.A.
WBGene00017360,3.684933706,9.059999999999999e-61,WBGene00017360,WBGene00017360,History: N.A.
WBGene00003475,3.683926794,3.0400000000000005e-129,WBGene00003475,WBGene00003475,History: N.A.
WBGene00016390,3.683025205,4.340000000000001e-65,WBGene00016390,WBGene00016390,History: N.A.
WBGene00010624,3.68271597,1.1e-67,WBGene00010624,WBGene00010624,History: N.A.
WBGene00020035,3.680809842,1.54e-165,WBGene00020035,WBGene00020035,History: N.A.
WBGene00021748,3.68004407,2.45e-80,WBGene00021748,WBGene00021748,History: N.A.
WBGene00004917,3.678125867,1.15e-77,WBGene00004917,WBGene00004917,History: N.A.
WBGene00044445,3.677666662,5.740000000000001e-21,WBGene00044445,WBGene00044445,History: N.A.
WBGene00021514,3.675209622,1.88e-70,WBGene00021514,WBGene00021514,History: N.A.
WBGene00009289,3.673251754,9.35e-99,WBGene00009289,WBGene00009289,History: N.A.
WBGene00001682,3.664581695,3.1999999999999996e-41,WBGene00001682,WBGene00001682,History: N.A.
WBGene00009439,3.658482165,7.83e-72,WBGene00009439,WBGene00009439,History: N.A.
WBGene00008457,3.657008729,9.21e-52,WBGene00008457,WBGene00008457,History: N.A.
WBGene00015021,3.651517868,8.250000000000001e-100,WBGene00015021,WBGene00015021,History: N.A.
WBGene00016038,3.651250464,4.94e-24,WBGene00016038,WBGene00016038,History: Renamed on 2006-06-30
WBGene00018991,3.649866553,1.1e-102,WBGene00018991,WBGene00018991,History: N.A.
WBGene00020652,3.649419941,2.08e-152,WBGene00020652,WBGene00020652,History: N.A.
WBGene00004851,3.648819929,4.91e-39,WBGene00004851,WBGene00004851,History: N.A.
WBGene00021721,3.645623644,1.2300000000000002e-21,WBGene00021721,WBGene00021721,History: N.A.
WBGene00003799,3.639827173,2.6e-154,WBGene00003799,WBGene00003799,History: N.A.
WBGene00012643,3.63969242,3.05e-66,WBGene00012643,WBGene00012643,History: N.A.
WBGene00001599,3.639269427,6.5e-129,WBGene00001599,WBGene00001599,History: N.A.
WBGene00006648,3.637850995,1.23e-80,WBGene00006648,WBGene00006648,History: N.A.
WBGene00010537,3.634152044,6.83e-92,WBGene00010537,WBGene00010537,History: N.A.
WBGene00015744,3.633485062,2.27e-42,WBGene00015744,WBGene00015744,History: N.A.
WBGene00020915,3.632812636,8.12e-135,WBGene00020915,WBGene00020915,History: Renamed on 2017-08-01
WBGene00014367,3.628234699,2.91e-35,WBGene00014367,WBGene00014367,History: N.A.
WBGene00019833,3.627019003,1.6e-87,WBGene00019833,WBGene00019833,History: N.A.
WBGene00021648,3.62674481,1e-66,WBGene00021648,WBGene00021648,History: N.A.
WBGene00022077,3.625393051,1.71e-113,WBGene00022077,WBGene00022077,History: N.A.
WBGene00001683,3.624294481,4.5500000000000005e-166,WBGene00001683,WBGene00001683,History: N.A.
WBGene00012481,3.623223235,6.0600000000000005e-121,WBGene00012481,WBGene00012481,History: N.A.
WBGene00013150,3.620493441,2.36e-87,WBGene00013150,WBGene00013150,History: N.A.
WBGene00016277,3.620193364,7.71e-149,WBGene00016277,WBGene00016277,History: N.A.
WBGene00270322,3.617092907,7.98e-140,WBGene00270322,WBGene00270322,History: N.A.
WBGene00000203,3.617017715,7.32e-66,WBGene00000203,WBGene00000203,History: N.A.
WBGene00007616,3.615151511,4.67e-109,WBGene00007616,WBGene00007616,History: N.A.
WBGene00012465,3.609245523,4.980000000000002e-66,WBGene00012465,WBGene00012465,History: N.A.
WBGene00045116,3.606105026,3.36e-38,WBGene00045116,WBGene00045116,History: N.A.
WBGene00021698,3.596839294,2.23e-151,WBGene00021698,WBGene00021698,History: N.A.
WBGene00016393,3.596022363,2.03e-59,WBGene00016393,WBGene00016393,History: N.A.
WBGene00199726,3.59561,5.07e-35,WBGene00199726,WBGene00199726,History: N.A.
WBGene00018891,3.592962228,1.3e-154,WBGene00018891,WBGene00018891,History: N.A.
WBGene00021022,3.592855039,2.65e-83,WBGene00021022,WBGene00021022,History: N.A.
WBGene00018151,3.58755905,5.15e-108,WBGene00018151,WBGene00018151,History: N.A.
WBGene00006571,3.585312229,5.49e-116,WBGene00006571,WBGene00006571,History: N.A.
WBGene00009202,3.583955186,3.73e-26,WBGene00009202,WBGene00009202,History: N.A.
WBGene00017641,3.583338448,4.29e-174,WBGene00017641,WBGene00017641,History: N.A.
WBGene00196165,3.583062748,1.94e-38,WBGene00196165,WBGene00196165,History: N.A.
WBGene00001028,3.581975502,7.810000000000001e-132,WBGene00001028,WBGene00001028,History: N.A.
WBGene00019246,3.581692353,2.65e-104,WBGene00019246,WBGene00019246,History: Renamed on 2015-03-04
WBGene00001224,3.581444877,3.58e-108,WBGene00001224,WBGene00001224,History: N.A.
WBGene00018961,3.579153579,3.45e-46,WBGene00018961,WBGene00018961,History: N.A.
WBGene00010230,3.578249204,1.44e-50,WBGene00010230,WBGene00010230,History: N.A.
WBGene00010638,3.577590418,7.32e-105,WBGene00010638,WBGene00010638,History: N.A.
WBGene00016182,3.577001488,2.45e-75,WBGene00016182,WBGene00016182,History: N.A.
WBGene00017356,3.57523276,1.7300000000000003e-79,WBGene00017356,WBGene00017356,History: N.A.
WBGene00194642,3.57308768,1.76e-18,WBGene00194642,WBGene00194642,History: N.A.
WBGene00001647,3.568905316,9.23e-89,WBGene00001647,WBGene00001647,History: N.A.
WBGene00007880,3.568614526,1.9300000000000001e-56,WBGene00007880,WBGene00007880,History: N.A.
