# CSR-1 22G-RNA targets,,,
# CSR-1 targets > 1 RPM,> 1 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 50 RPM,> 50 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 150 RPM,> 150 RPM in IP and log2FC (IP/Input) > 1,,
# Sorted embryos,1 cell,early vs 1-cell,late vs 1-cell
# Stable,> 1TPM,has to be -0.5< log2FC <0.5,has to be -0.5< log2FC <0.5
# Late degraded,> 1TPM,has to be -0.5< log2FC <0.5,has to be log2FC < -1
# Early degraded,> 1TPM,has to be log2FC < -1,has to be log2FC < -1
# Maternal cleared ,> 1TPM,has to be log2FC < -0.5,has to be log2FC < -1
# Newly zygotic,< 1TPM,> 1TPM and log2FC > 1,> 1TPM and log2FC > 1
# Maternal and zygotic,> 1TPM,log2FC > 0.5,
# Maternal and zygotic,> 1TPM,,log2FC > 0.5
# all in 1-Cell,> 1TPM,,
CSR-1 Embryo Targets > 150 RPM (249),Unnamed: 1,Unnamed: 2,Unnamed: 3,Input,Suggested Match,History
WBGene00000041,,,,WBGene00000041,WBGene00000041,History: N.A.
WBGene00000101,,,,WBGene00000101,WBGene00000101,History: N.A.
WBGene00000156,,,,WBGene00000156,WBGene00000156,History: N.A.
WBGene00000186,,,,WBGene00000186,WBGene00000186,History: N.A.
WBGene00000229,,,,WBGene00000229,WBGene00000229,History: N.A.
WBGene00000377,,,,WBGene00000377,WBGene00000377,History: N.A.
WBGene00000378,,,,WBGene00000378,WBGene00000378,History: N.A.
WBGene00000379,,,,WBGene00000379,WBGene00000379,History: N.A.
WBGene00000380,,,,WBGene00000380,WBGene00000380,History: N.A.
WBGene00000381,,,,WBGene00000381,WBGene00000381,History: N.A.
WBGene00000386,,,,WBGene00000386,WBGene00000386,History: N.A.
WBGene00000465,,,,WBGene00000465,WBGene00000465,History: Renamed on 2006-06-16; Renamed on 2008-01-14
WBGene00000473,,,,WBGene00000473,WBGene00000473,History: N.A.
WBGene00000479,,,,WBGene00000479,WBGene00000479,History: N.A.
WBGene00000496,,,,WBGene00000496,WBGene00000496,History: N.A.
WBGene00000802,,,,WBGene00000802,WBGene00000802,History: N.A.
WBGene00000837,,,,WBGene00000837,WBGene00000837,History: Renamed on 2013-05-02
WBGene00000871,,,,WBGene00000871,WBGene00000871,History: Renamed on 2015-03-05
WBGene00000883,,,,WBGene00000883,WBGene00000883,History: N.A.
WBGene00000913,,,,WBGene00000913,WBGene00000913,History: N.A.
WBGene00000915,,,,WBGene00000915,WBGene00000915,History: Renamed on 2017-08-01
WBGene00000938,,,,WBGene00000938,WBGene00000938,History: N.A.
WBGene00000962,,,,WBGene00000962,WBGene00000962,History: N.A.
WBGene00001016,,,,WBGene00001016,WBGene00001016,History: N.A.
WBGene00001049,,,,WBGene00001049,WBGene00001049,History: N.A.
WBGene00001058,,,,WBGene00001058,WBGene00001058,History: N.A.
WBGene00001085,,,,WBGene00001085,WBGene00001085,History: N.A.
WBGene00001137,,,,WBGene00001137,WBGene00001137,History: N.A.
WBGene00001167,,,,WBGene00001167,WBGene00001167,History: Renamed on 2010-08-03
WBGene00001168,,,,WBGene00001168,WBGene00001168,History: Renamed on 2005-09-08; Renamed on 2010-08-03
WBGene00001194,,,,WBGene00001194,WBGene00001194,History: N.A.
WBGene00001259,,,,WBGene00001259,WBGene00001259,History: N.A.
WBGene00001423,,,,WBGene00001423,WBGene00001423,History: N.A.
WBGene00001431,,,,WBGene00001431,WBGene00001431,History: N.A.
WBGene00001599,,,,WBGene00001599,WBGene00001599,History: N.A.
WBGene00001744,,,,WBGene00001744,WBGene00001744,History: Renamed on 2010-01-29
WBGene00001829,,,,WBGene00001829,WBGene00001829,History: N.A.
WBGene00001832,,,,WBGene00001832,WBGene00001832,History: Renamed on 2015-03-05
WBGene00001855,,,,WBGene00001855,WBGene00001855,History: Renamed on 2010-11-12
WBGene00001860,,,,WBGene00001860,WBGene00001860,History: N.A.
WBGene00001973,,,,WBGene00001973,WBGene00001973,History: N.A.
WBGene00001978,,,,WBGene00001978,WBGene00001978,History: N.A.
WBGene00002005,,,,WBGene00002005,WBGene00002005,History: N.A.
WBGene00002010,,,,WBGene00002010,WBGene00002010,History: N.A.
WBGene00002025,,,,WBGene00002025,WBGene00002025,History: N.A.
WBGene00002035,,,,WBGene00002035,WBGene00002035,History: N.A.
WBGene00002072,,,,WBGene00002072,WBGene00002072,History: N.A.
WBGene00002073,,,,WBGene00002073,WBGene00002073,History: N.A.
WBGene00002083,,,,WBGene00002083,WBGene00002083,History: N.A.
WBGene00002192,,,,WBGene00002192,WBGene00002192,History: N.A.
WBGene00002225,,,,WBGene00002225,WBGene00002225,History: N.A.
