Gene name,Sample 1,Sample 2,log2FoldChange,adjusted p-value,Input,Suggested Match,History
WBGene00009326,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,-3.78408941443444,1.76630682702591e-59,WBGene00009326,WBGene00009326,History: N.A.
WBGene00012046,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,-2.95408502811277,3.8825839806393806e-15,WBGene00012046,WBGene00012046,History: N.A.
WBGene00044515,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,-2.93344699267973,3.16799817966622e-12,WBGene00044515,WBGene00044515,History: N.A.
WBGene00017060,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,-2.72927731607452,4.22196252454501e-18,WBGene00017060,WBGene00017060,History: N.A.
WBGene00009429,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,-2.54734452841782,1.40288137337699e-26,WBGene00009429,WBGene00009429,History: N.A.
WBGene00008584,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,-2.09425072055703,1.0075773860283901e-19,WBGene00008584,WBGene00008584,History: N.A.
WBGene00015763,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,-1.93202439396676,1.18887961847969e-06,WBGene00015763,WBGene00015763,History: N.A.
WBGene00022103,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,-1.90215316137083,1.8164681291491496e-12,WBGene00022103,WBGene00022103,History: N.A.
WBGene00019849,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,-1.8431674803682,2.64031282749096e-06,WBGene00019849,WBGene00019849,History: N.A.
WBGene00018839,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,-1.77812155238932,5.10174475476738e-05,WBGene00018839,WBGene00018839,History: N.A.
WBGene00003553,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,-1.73649323678162,8.90350669884276e-15,WBGene00003553,WBGene00003553,History: N.A.
WBGene00010472,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,-1.72948553533495,2.42038148759524e-06,WBGene00010472,WBGene00010472,History: N.A.
WBGene00009227,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,-1.72563173861579,4.22792853305575e-07,WBGene00009227,WBGene00009227,History: N.A.
WBGene00011054,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,-1.70330350692787,2.68264429280966e-29,WBGene00011054,WBGene00011054,History: N.A.
WBGene00012261,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,-1.68898210187092,3.14856207236492e-10,WBGene00012261,WBGene00012261,History: N.A.
WBGene00008152,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,-1.68795184063358,4.79256380119617e-10,WBGene00008152,WBGene00008152,History: N.A.
WBGene00012593,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,-1.66869016924008,7.39456868390178e-07,WBGene00012593,WBGene00012593,History: N.A.
WBGene00044617,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,-1.66189185512415,7.3732777080022214e-09,WBGene00044617,WBGene00044617,History: N.A.
WBGene00009108,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,-1.64985552306031,7.36129526317375e-07,WBGene00009108,WBGene00009108,History: N.A.
WBGene00015268,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,-1.64810408687949,3.01079311057851e-11,WBGene00015268,WBGene00015268,"History: Split into BE0003N10.6(WBGene00255598). History of WBGene00015268: Split into ""WBGene00255598"" on 2014-10-09"
WBGene00016422,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,-1.6360261239843,5.771536258580401e-10,WBGene00016422,WBGene00016422,History: N.A.
WBGene00000402,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,-1.62468228097412,1.02471712890911e-07,WBGene00000402,WBGene00000402,"History: Split into C45G7.13(WBGene00235340). History of WBGene00000402: Split into ""WBGene00235340"" on 2013-09-12"
WBGene00022274,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,-1.61547306492573,1.51973742318164e-10,WBGene00022274,WBGene00022274,History: N.A.
WBGene00006366,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,-1.6083067732442,5.0609093852728514e-09,WBGene00006366,WBGene00006366,History: N.A.
WBGene00011077,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,-1.60600663597571,1.45514187102848e-10,WBGene00011077,WBGene00011077,History: N.A.
WBGene00011107,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,-1.59440901151546,3.81458435958807e-09,WBGene00011107,WBGene00011107,History: N.A.
