gene_id,gene_name,log2 fold change (MLE): group rrf3 L3 vs N2 L3,Benjamini-Hochberg adjusted p-values,N2_L3_rep1.robustRPKM,N2_L3_rep2.robustRPKM,N2_L3_rep3.robustRPKM,rrf3_L3_rep1.robustRPKM,rrf3_L3_rep2.robustRPKM,rrf3_L3_rep3.robustRPKM,Input,Suggested Match,History
WBGene00044728,Y53F4B.45,3.54165658324342,4.01905254909245e-287,16.235875032241,14.7363674097155,18.0106915627433,191.38954672896,195.618409279471,184.323541987683,WBGene00044728,WBGene00044728,History: N.A.
WBGene00019511,K08A2.1,3.37851940624885,4.80473125043455e-247,12.8389828070609,13.0660756588905,11.843898593681,127.73008245874,125.839444560119,138.848337437933,WBGene00019511,WBGene00019511,History: N.A.
WBGene00000720,col-147,2.08961927920631,2.3486604516658102e-154,119.511257298791,110.562061849414,119.281807122921,464.336480145349,485.896081094437,537.512222877944,WBGene00000720,WBGene00000720,History: N.A.
WBGene00009374,F34D10.4,2.73863581996838,5.18981696048951e-150,9.73396567645893,7.48258055178791,9.17339377560392,58.1117553757904,57.0536029470702,61.1583553946482,WBGene00009374,WBGene00009374,History: N.A.
WBGene00270321,Y41C4A.32,2.62696925252119,4.08572869258017e-145,22.5521109931982,20.0281849895646,21.2501512377626,131.06134392376,124.98587557225,138.490937561886,WBGene00270321,WBGene00270321,History: N.A.
WBGene00023036,F39E9.10,3.34816776237716,7.48944727405094e-139,11.3165029820049,12.1494504532285,12.5224105508244,121.149141442131,130.314578500483,115.115225171153,WBGene00023036,WBGene00023036,History: N.A.
WBGene00000512,ckb-2,2.59013375432489,1.26705234207179e-128,16.6076880264719,16.8521654955809,17.464715551492,105.957131233912,109.646480118212,90.7800406881829,WBGene00000512,WBGene00000512,History: N.A.
WBGene00010573,K04H4.2,-1.72119720157181,6.12943282766377e-121,161.139538518405,163.335786881827,153.492592662714,51.5857699131549,44.9140538968552,48.4287458918463,WBGene00010573,WBGene00010573,History: N.A.
WBGene00015052,clec-52,-2.93329327150703,1.30675711303609e-118,71.8641591510973,74.6712086278272,75.024724556205,9.99156015593815,9.40265003682948,9.57805184128411,WBGene00015052,WBGene00015052,History: N.A.
WBGene00017937,F30H5.3,-1.83271362177952,2.68878918350528e-117,144.353030205481,147.732967092596,137.190691047674,38.6854830244716,37.36021765334,44.5945221414678,WBGene00017937,WBGene00017937,History: N.A.
WBGene00014183,ZK1025.3,-1.96805149144126,3.81564541123651e-117,312.447893356577,373.561055755262,324.016003535111,87.4012091278925,83.2415915784313,87.5474678351641,WBGene00014183,WBGene00014183,History: N.A.
WBGene00001716,grl-7,-1.94965666802056,2.6779654167967706e-111,281.874585669007,312.010190879874,263.118565658208,71.2070692105014,71.8227261309975,79.1154965260307,WBGene00001716,WBGene00001716,History: N.A.
WBGene00011561,ttr-15,1.85778462943028,1.57790891364123e-109,202.905689831192,236.204251019261,211.742578404849,754.428744435088,850.816518815141,753.284330604785,WBGene00011561,WBGene00011561,History: N.A.
WBGene00045416,Y37H2A.14,2.29108725325329,1.8473700516471e-109,32.2244248064879,35.4059934445704,31.3148325729477,152.194673890452,162.712961312716,169.435605686145,WBGene00045416,WBGene00045416,History: N.A.
WBGene00005017,sqt-2,-1.59614080614267,2.2442936441754098e-108,1022.23681075167,1069.43556082946,940.583008656859,339.547895547254,321.718123809165,341.735429892729,WBGene00005017,WBGene00005017,History: N.A.
WBGene00017483,lgc-22,-1.84263676080593,8.00122104697007e-106,133.655265988649,139.251393656235,126.970018517734,36.1700080940208,37.9077252053795,37.449633692922,WBGene00017483,WBGene00017483,History: N.A.
WBGene00008851,F15B9.8,-2.14052492321689,4.33453676801359e-105,251.645147391942,276.409119019998,227.828901868377,58.3189410605813,55.4384298894676,57.6202928883627,WBGene00008851,WBGene00008851,History: N.A.
WBGene00000786,cpr-6,-1.56777434058017,1.47195297287174e-100,811.052777011166,698.439610548575,750.353936012215,256.157591311898,248.813017457425,257.387971818211,WBGene00000786,WBGene00000786,History: N.A.
WBGene00018737,F53B1.4,-1.91734525642257,3.32316986114495e-98,321.484445805844,341.238868712933,291.433035471495,94.5370242282156,78.109187502877,79.6287631756288,WBGene00018737,WBGene00044621,"History: Merged into ""WBGene00044621"" on 2020-07-30. Remark: [2020-07-30T16:54:45.386Z WBPerson1983] Gene Merged into WBGene00044621: bus-5 confirmed as this sequenced loci also known as rml-2...F53B1.4 - name transferred to bus-5"
WBGene00044644,B0205.13,1.97852729051192,3.54902807471022e-94,67.3648036232233,70.375624700379,69.4675887731164,281.558092958665,255.383919411349,279.875514337959,WBGene00044644,WBGene00044644,History: N.A.
WBGene00022287,Y75B7AR.1,-1.66670793299491,4.91747196885245e-93,462.330399885355,427.856024001134,435.49461952465,143.471428810028,129.083465899574,145.240083091861,WBGene00022287,WBGene00022287,History: N.A.
WBGene00235158,Y37E3.30,4.19380823652168,2.2500629948685294e-92,2.6984459577566,2.92405546407426,2.95354087600672,50.7193577710197,51.6080823869684,54.9476887078715,WBGene00235158,WBGene00235158,History: N.A.
WBGene00044623,bus-8,-1.61541368975555,6.52722078673222e-91,107.845262131224,118.317381725838,113.255077109324,36.9353100014005,35.539656922448,38.3961388860944,WBGene00044623,WBGene00044623,"History: Split into T23F2.13(WBGene00303081). History of WBGene00044623: Renamed on 2008-04-18; Renamed on 2008-04-18; Split into ""WBGene00303081"" on 2018-03-02"
WBGene00000715,col-142,2.52849740903103,9.728588431194871e-91,13.9946448360458,12.9284104344403,15.6859669005064,73.1995865134559,82.6226446017016,90.8768093385439,WBGene00000715,WBGene00000715,History: N.A.
WBGene00001724,grl-15,-2.0384917015239,1.09986653252432e-88,195.574987260809,223.012334178844,215.014843045321,48.5502015256133,57.7370498524596,47.7410799310317,WBGene00001724,WBGene00001724,History: N.A.
WBGene00017998,F33D4.6,-1.84560422228564,1.96308998951673e-87,119.190735457723,141.489461263945,116.095619312316,32.9480375323926,36.2761027213468,35.6700297189624,WBGene00017998,WBGene00017998,History: N.A.
WBGene00003534,nas-15,-1.86573706552448,1.43106169253681e-85,156.58599743718,164.574229246921,145.978379568574,46.9633922801567,36.6334528246775,44.5724377835332,WBGene00003534,WBGene00003534,History: N.A.
WBGene00004398,rol-8,-1.56497856943645,6.38347904715334e-85,1006.07967802038,995.159230757818,910.43792854442,326.095783635967,299.500998953155,358.952001862865,WBGene00004398,WBGene00004398,History: N.A.
WBGene00016576,C41H7.6,3.59359894542022,2.18748399528854e-84,2.82013297453649,3.53438558639376,2.46308571164976,33.8516733236235,34.1913784952118,38.138256418524,WBGene00016576,WBGene00016576,History: N.A.
WBGene00018640,F49E10.2,-1.81018781234649,9.77041682359671e-84,46.4818174740488,49.5047848803422,44.3787091254869,13.5825165702341,13.7494136263153,12.6096751571828,WBGene00018640,WBGene00018640,History: N.A.
WBGene00000733,col-160,1.75367669249172,2.3974730821137297e-83,261.987983474798,259.534784726365,248.829895927478,794.757803551519,799.225581768094,1004.4254941184,WBGene00000733,WBGene00000733,History: N.A.
WBGene00005018,sqt-3,-1.5932947690994,1.4896840128840798e-82,1376.97471760156,1393.55341890948,1333.55624544589,461.955068126254,397.994647830569,500.64180190258,WBGene00005018,WBGene00005018,History: Renamed on 2005-08-23
WBGene00012452,Y17D7B.4,2.14160782258489,2.19743184217427e-81,24.0954463493765,24.0211991818119,26.2970621567312,112.184104975413,109.954510516818,106.346950877112,WBGene00012452,WBGene00012452,History: N.A.
