Gene name,log2FoldChange,Adjusted p-value,Input,Suggested Match,History
WBGene00010720,5.672246267,2.28e-61,WBGene00010720,WBGene00010720,History: N.A.
WBGene00220155,5.613021334,5.85e-29,WBGene00220155,WBGene00220155,History: N.A.
WBGene00010942,5.233103933,3.07e-33,WBGene00010942,WBGene00010942,History: N.A.
WBGene00013270,5.049641838,3.23e-61,WBGene00013270,WBGene00013270,History: N.A.
WBGene00017999,5.031448085,2.22e-49,WBGene00017999,WBGene00017999,History: N.A.
WBGene00010056,4.794092485,7.18e-51,WBGene00010056,WBGene00010056,History: N.A.
WBGene00004916,4.682647985,2.56e-44,WBGene00004916,WBGene00004916,History: N.A.
WBGene00004915,4.635808446,9.31e-46,WBGene00004915,WBGene00004915,History: N.A.
WBGene00014205,4.63250689,8.32e-49,WBGene00014205,WBGene00014205,History: N.A.
WBGene00009946,4.624923325,2.08e-45,WBGene00009946,WBGene00009946,History: N.A.
WBGene00016741,4.586464942,3.67e-42,WBGene00016741,WBGene00016741,History: N.A.
WBGene00013168,4.568709031,2.5e-42,WBGene00013168,WBGene00013168,History: N.A.
WBGene00185088,4.568111475,1.26e-23,WBGene00185088,WBGene00185088,History: N.A.
WBGene00001365,4.547614994,1.51e-30,WBGene00001365,WBGene00001365,History: N.A.
WBGene00016966,4.534648541,9.47e-26,WBGene00016966,WBGene00016966,History: N.A.
WBGene00004919,4.521924799,1.7e-36,WBGene00004919,WBGene00004919,History: N.A.
WBGene00020915,4.500661534,1.41e-53,WBGene00020915,WBGene00020915,History: Renamed on 2017-08-01
WBGene00022046,4.462673297,8.34e-45,WBGene00022046,WBGene00022046,History: N.A.
WBGene00003076,4.406761988,4.71e-34,WBGene00003076,WBGene00003076,History: N.A.
WBGene00019010,4.367741339,2.25e-22,WBGene00019010,WBGene00019010,History: N.A.
WBGene00021920,4.360811972,4.599999999999999e-24,WBGene00021920,WBGene00021920,History: N.A.
WBGene00010896,4.357332387,3.0600000000000004e-37,WBGene00010896,WBGene00010896,History: Renamed on 2005-03-17
WBGene00003077,4.337102179,5.57e-25,WBGene00003077,WBGene00003077,History: N.A.
WBGene00006574,4.328289826,2.27e-18,WBGene00006574,WBGene00006574,History: N.A.
