Gene name,Sample 1,Sample 2,log2FoldChange,adjusted p-value,Input,Suggested Match,History
WBGene00000710,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,8.28962579815114,1.75402029137501e-90,WBGene00000710,WBGene00000710,History: N.A.
WBGene00000596,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,8.18476922245334,3.43005509946112e-45,WBGene00000596,WBGene00000596,History: N.A.
WBGene00000638,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,8.16345191248585,1.55047897838276e-60,WBGene00000638,WBGene00000638,History: N.A.
WBGene00006929,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,7.85218929588718,6.92488226822856e-75,WBGene00006929,WBGene00006929,History: N.A.
WBGene00000693,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,7.60135944375925,3.78453095194709e-82,WBGene00000693,WBGene00000693,History: N.A.
WBGene00000752,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,7.05430099920729,7.36908957163099e-123,WBGene00000752,WBGene00000752,History: N.A.
WBGene00000657,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,6.63989746527786,2.37180148158063e-73,WBGene00000657,WBGene00000657,History: N.A.
WBGene00000597,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,5.9527583023707,6.51904343660581e-43,WBGene00000597,WBGene00000597,History: N.A.
WBGene00000725,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,5.87601612222166,1.29404709180914e-66,WBGene00000725,WBGene00000725,History: N.A.
WBGene00016164,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,5.8631690852683,7.95179180776215e-51,WBGene00016164,WBGene00016164,History: N.A.
WBGene00000712,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,5.81402443168716,2.18208610368588e-60,WBGene00000712,WBGene00000712,History: N.A.
WBGene00000609,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,5.79752258446314,2.9830411151228796e-230,WBGene00000609,WBGene00000609,History: N.A.
WBGene00000751,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,5.65195535908188,9.210487179452881e-58,WBGene00000751,WBGene00000751,History: N.A.
WBGene00001736,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,5.57465321941438,4.0537604667119505e-73,WBGene00001736,WBGene00001736,History: N.A.
WBGene00000608,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,5.49679460009923,6.9282958377236805e-46,WBGene00000608,WBGene00000608,History: N.A.
WBGene00010987,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,5.37341101544023,2.6618319295011e-18,WBGene00010987,WBGene00010987,History: N.A.
WBGene00000698,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,5.17494302482264,7.2590896905744e-45,WBGene00000698,WBGene00000698,History: N.A.
WBGene00000713,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,5.1371417149058,9.19795398082704e-41,WBGene00000713,WBGene00000713,History: N.A.
WBGene00000703,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,5.05548067555593,1.38643414825486e-38,WBGene00000703,WBGene00000703,History: N.A.
WBGene00000666,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,5.03178779012826,0.0,WBGene00000666,WBGene00000666,History: N.A.
WBGene00000024,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,5.02449847942766,8.246793598319909e-22,WBGene00000024,WBGene00000024,History: N.A.
WBGene00077691,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,4.97492541952035,2.12848762230259e-44,WBGene00077691,WBGene00077691,History: N.A.
WBGene00004139,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,4.86161322625575,8.853708973586419e-36,WBGene00004139,WBGene00004139,History: N.A.
WBGene00012880,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,4.81024859672254,6.19132608892751e-41,WBGene00012880,WBGene00012880,History: N.A.
WBGene00006926,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,4.78660202187127,5.37263038600117e-190,WBGene00006926,WBGene00006926,History: N.A.
WBGene00004098,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,4.77636669315417,7.30410158623034e-12,WBGene00004098,WBGene00004098,"History: Split into ""WBGene00044023"" on 2004-12-13"
WBGene00000030,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,4.76477759635545,1.4995623116948802e-17,WBGene00000030,WBGene00000030,History: N.A.
WBGene00006928,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,4.76007635637706,1.2937958045732401e-37,WBGene00006928,WBGene00006928,History: N.A.
WBGene00000757,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,4.75314713044439,1.31403372022296e-129,WBGene00000757,WBGene00000757,History: N.A.
WBGene00007344,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,4.71988876453196,1.2612329740222304e-196,WBGene00007344,WBGene00007344,History: N.A.
WBGene00010065,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,4.6676297800521,2.82452774618363e-25,WBGene00010065,WBGene00010065,History: N.A.
WBGene00007508,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,4.63138888127849,1.02774722841477e-179,WBGene00007508,WBGene00007508,History: N.A.
WBGene00044011,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,4.56144865050922,2.25955247091647e-51,WBGene00044011,WBGene00044011,History: N.A.
WBGene00007149,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,4.54405276540919,2.61761712935241e-64,WBGene00007149,WBGene00007149,History: N.A.
WBGene00000033,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,4.53078842981259,8.768027752457211e-23,WBGene00000033,WBGene00000033,History: N.A.
WBGene00000754,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,4.52739712762093,1.4149110351592e-45,WBGene00000754,WBGene00000754,History: N.A.
WBGene00000029,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,4.50292836016375,6.87278198408793e-16,WBGene00000029,WBGene00000029,History: N.A.
WBGene00016434,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,4.50152522932818,9.84781110813658e-34,WBGene00016434,WBGene00016434,History: N.A.
WBGene00050914,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,4.47820258295655,3.31114935883441e-21,WBGene00050914,WBGene00050914,History: N.A.
WBGene00002018,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,4.45234168470575,2.00734075037703e-59,WBGene00002018,WBGene00002018,History: N.A.
WBGene00020803,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,4.45085350824211,9.93939594391598e-37,WBGene00020803,WBGene00020803,History: N.A.
WBGene00008394,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,4.43508628543317,2.83089543780228e-19,WBGene00008394,WBGene00008394,"History: Split into D1086.18(WBGene00045405). History of WBGene00008394: Split into ""WBGene00045405"" on 2007-05-02"
WBGene00004146,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,4.40379497685,3.48543012266205e-28,WBGene00004146,WBGene00004146,History: N.A.
WBGene00016636,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,4.32323705973222,1.85819207710646e-118,WBGene00016636,WBGene00016636,History: N.A.
WBGene00016915,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,4.32148449458363,1.91366809674385e-10,WBGene00016915,WBGene00016915,History: N.A.
WBGene00045271,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,4.30973076210493,5.41189779849373e-27,WBGene00045271,WBGene00045271,History: N.A.
WBGene00017073,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,4.25596206991239,4.1471725520711e-46,WBGene00017073,WBGene00017073,History: N.A.
WBGene00000663,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,4.25381350885228,2.50528017155337e-26,WBGene00000663,WBGene00000663,History: N.A.
WBGene00014039,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,4.23680082484319,1.00713511886961e-36,WBGene00014039,WBGene00014039,History: N.A.
WBGene00010007,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,4.19852810353446,4.9384837496793e-52,WBGene00010007,WBGene00010007,History: N.A.
WBGene00050913,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,4.13575524586621,2.34442845674534e-33,WBGene00050913,WBGene00050913,History: N.A.
WBGene00000701,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,4.13355976889327,1.03969316933553e-13,WBGene00000701,WBGene00000701,History: N.A.
WBGene00019717,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,4.1078308404107,1.29533623097658e-219,WBGene00019717,WBGene00019717,History: N.A.
WBGene00020413,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,4.06067542340132,8.47382291179997e-163,WBGene00020413,WBGene00020413,History: N.A.
WBGene00003763,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,3.99830462031896,5.06600243637431e-41,WBGene00003763,WBGene00003763,History: N.A.
WBGene00000034,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,3.99578988944042,1.31494472087549e-20,WBGene00000034,WBGene00000034,History: N.A.
WBGene00219376,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,3.98969204036358,1.9086798802253607e-65,WBGene00219376,WBGene00219376,History: N.A.
WBGene00017218,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,3.98152147044836,4.15192664294255e-84,WBGene00017218,WBGene00017218,History: N.A.
WBGene00000671,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,3.97679128801528,1.20748875588873e-43,WBGene00000671,WBGene00000671,History: N.A.
WBGene00044773,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,3.95573762285998,2.35868203669277e-10,WBGene00044773,WBGene00044773,History: N.A.
WBGene00000680,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,3.92945638564135,1.66437925289449e-22,WBGene00000680,WBGene00000680,History: N.A.
WBGene00003541,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,3.90263643151028,2.27647780865256e-17,WBGene00003541,WBGene00003541,History: N.A.
WBGene00000735,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,3.88989172496689,1.23310382769593e-191,WBGene00000735,WBGene00000735,History: N.A.
WBGene00001695,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,3.88228165984967,4.64128982710173e-148,WBGene00001695,WBGene00001695,History: N.A.
WBGene00000696,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,3.86554058900635,3.49285569967181e-24,WBGene00000696,WBGene00000696,History: N.A.
WBGene00006930,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,3.82905718809977,1.87361380649976e-96,WBGene00006930,WBGene00006930,History: N.A.
WBGene00000734,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,3.76453109599505,2.38230127502691e-204,WBGene00000734,WBGene00000734,History: N.A.
WBGene00000700,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,3.73292710807242,1.62937306072979e-11,WBGene00000700,WBGene00000700,History: N.A.
WBGene00044081,wild-type - 20ºC,csr-1a(cmp135) - 20ºC,3.71835841798958,3.35675069607131e-26,WBGene00044081,WBGene00044081,History: N.A.
