Gene name,log2FoldChange,Adjusted p-value,Input,Suggested Match,History
WBGene00194644,6.762290753,3.57e-231,WBGene00194644,WBGene00194644,History: N.A.
WBGene00045416,6.056990636,9.6e-27,WBGene00045416,WBGene00045416,History: N.A.
WBGene00001933,5.602696671,1.08e-157,WBGene00001933,WBGene00001933,History: N.A.
WBGene00044155,5.373093803,1.16e-31,WBGene00044155,WBGene00044155,History: N.A.
WBGene00021438,5.0773571,2.69e-10,WBGene00021438,WBGene00021438,History: N.A.
WBGene00201754,4.812851771,1.49e-10,WBGene00201754,WBGene00201754,History: N.A.
WBGene00002056,4.546058461,3.9e-137,WBGene00002056,WBGene00002056,History: Renamed on 2021-03-09
WBGene00017941,4.458356621,3.13e-67,WBGene00017941,WBGene00017941,History: N.A.
WBGene00008214,4.451116934,2.64e-37,WBGene00008214,WBGene00008214,"History: Split into C49F8.14(WBGene00303047). History of WBGene00008214: Split into ""WBGene00303047"" on 2018-03-02"
WBGene00017672,4.432347081,2.8600000000000003e-117,WBGene00017672,WBGene00017672,History: N.A.
WBGene00001916,4.416444391,1.1000000000000001e-110,WBGene00001916,WBGene00001916,History: N.A.
WBGene00017179,4.41117391,6.9e-104,WBGene00017179,WBGene00017179,History: N.A.
WBGene00022549,4.409357114,2.4e-115,WBGene00022549,WBGene00022549,History: N.A.
WBGene00023491,4.401275679,3.43e-29,WBGene00023491,WBGene00023491,History: N.A.
WBGene00004103,4.398900395,4.59e-12,WBGene00004103,WBGene00004103,History: N.A.
WBGene00011411,4.393333088,8.19e-50,WBGene00011411,WBGene00011411,History: N.A.
WBGene00018783,4.367801059,2.04e-87,WBGene00018783,WBGene00018783,History: N.A.
WBGene00219493,4.348267004,1.05e-82,WBGene00219493,WBGene00219493,History: N.A.
WBGene00016943,4.322686482,9.77e-173,WBGene00016943,WBGene00016943,History: Renamed on 2004-08-25
WBGene00020641,4.298942111,1.82e-13,WBGene00020641,WBGene00020641,History: N.A.
WBGene00008186,4.252986646,1.72e-59,WBGene00008186,WBGene00008186,History: N.A.
WBGene00000981,4.221124846,4.65e-41,WBGene00000981,WBGene00000981,History: N.A.
WBGene00001912,4.200319966,3.01e-47,WBGene00001912,WBGene00001912,History: N.A.
WBGene00014738,4.149157247,2.51e-17,WBGene00014738,WBGene00014738,History: N.A.
WBGene00012960,4.141500576,2.57e-19,WBGene00012960,WBGene00012960,History: N.A.
WBGene00021019,4.115055842,6.57e-126,WBGene00021019,WBGene00021019,"History: Split into W04B5.8(WBGene00306003). History of WBGene00021019: Split into ""WBGene00306003"" on 2020-01-20"
WBGene00002212,4.111952589,2.56e-79,WBGene00002212,WBGene00002212,History: N.A.
WBGene00194794,4.102839212,3.61e-58,WBGene00194794,WBGene00194794,"History: Split into F20D1.22(WBGene00304908). History of WBGene00194794: Split into ""WBGene00304908"" on 2019-07-25"
WBGene00014201,4.045134809,1.89e-81,WBGene00014201,WBGene00014201,"History: Split into ZK1053.7(WBGene00044786). History of WBGene00014201: Split into ""WBGene00044786"" on 2006-03-16"
WBGene00008812,4.044253961,1.11e-111,WBGene00008812,WBGene00008812,"History: Split into F14F7.7(WBGene00206390). History of WBGene00008812: Split into ""WBGene00206390"" on 2011-01-21"
WBGene00001770,4.018725779,2.02e-16,WBGene00001770,WBGene00001770,History: N.A.
WBGene00016644,4.007505343,2.36e-44,WBGene00016644,WBGene00016644,History: N.A.
WBGene00011027,4.00527877,1.97e-52,WBGene00011027,WBGene00011027,History: N.A.
WBGene00022413,3.997367068,2.55e-142,WBGene00022413,WBGene00022413,History: N.A.
WBGene00001887,3.970026426,1.1099999999999998e-106,WBGene00001887,WBGene00001887,History: N.A.
WBGene00014854,3.936580002,3.67e-15,WBGene00014854,WBGene00014854,History: N.A.
WBGene00013644,3.924604174,6.95e-101,WBGene00013644,WBGene00013644,History: N.A.
WBGene00010822,3.908878947,1.2e-62,WBGene00010822,WBGene00010822,History: N.A.
WBGene00000172,3.887883282,4.789999999999999e-54,WBGene00000172,WBGene00000172,History: N.A.
WBGene00196927,3.882750045,2.13e-12,WBGene00196927,WBGene00196927,History: N.A.
WBGene00206390,3.879154964,1.74e-76,WBGene00206390,WBGene00206390,History: N.A.
WBGene00235152,3.855352796,2.2e-27,WBGene00235152,WBGene00235152,History: N.A.
WBGene00016759,3.81842154,1.81e-23,WBGene00016759,WBGene00016759,History: N.A.
WBGene00001889,3.816313083,4.91e-85,WBGene00001889,WBGene00001889,History: N.A.
WBGene00007724,3.806180248,6.570000000000001e-31,WBGene00007724,WBGene00007724,History: N.A.
WBGene00001243,3.797031174,2.77e-107,WBGene00001243,WBGene00001243,History: N.A.
WBGene00009115,3.796485802,5.57e-52,WBGene00009115,WBGene00009115,History: N.A.
WBGene00020904,3.794224936,2.0199999999999998e-38,WBGene00020904,WBGene00020904,History: N.A.
WBGene00012615,3.792316886,2.15e-108,WBGene00012615,WBGene00012615,History: N.A.
WBGene00009389,3.79213405,3.84e-32,WBGene00009389,WBGene00009389,History: N.A.
WBGene00021287,3.789589836,4.18e-62,WBGene00021287,WBGene00021287,History: N.A.
WBGene00018525,3.778036496,1.94e-66,WBGene00018525,WBGene00018525,History: N.A.
WBGene00195186,3.749157855,3.8899999999999997e-106,WBGene00195186,WBGene00195186,History: N.A.
WBGene00249812,3.745752024,4.5700000000000015e-22,WBGene00249812,WBGene00249812,History: N.A.
WBGene00018198,3.739713766,1.38e-35,WBGene00018198,WBGene00018198,History: N.A.
WBGene00001501,3.734971547,2.31e-98,WBGene00001501,WBGene00001501,History: N.A.
WBGene00008229,3.734221784,7.17e-47,WBGene00008229,WBGene00008229,History: N.A.
WBGene00000870,3.728350389,1.4100000000000001e-36,WBGene00000870,WBGene00000870,History: N.A.
WBGene00001883,3.710658512,4.29e-97,WBGene00001883,WBGene00001883,History: N.A.
WBGene00006815,3.709112265,4.2e-112,WBGene00006815,WBGene00006815,History: N.A.
WBGene00013107,3.689692042,1.06e-60,WBGene00013107,WBGene00013107,History: N.A.
WBGene00017658,3.677207896,7.36e-64,WBGene00017658,WBGene00017658,History: N.A.
WBGene00001879,3.650891861,2.74e-52,WBGene00001879,WBGene00001879,History: N.A.
WBGene00018350,3.645922383,2.95e-82,WBGene00018350,WBGene00018350,History: Renamed on 2013-10-04
WBGene00015783,3.641638035,7.63e-29,WBGene00015783,WBGene00015783,History: N.A.
WBGene00001899,3.623500275,2.69e-98,WBGene00001899,WBGene00001899,History: N.A.
WBGene00012409,3.622441822,1.29e-33,WBGene00012409,WBGene00012409,"History: Split into Y7A5A.24(WBGene00304823). History of WBGene00012409: Split into ""WBGene00304823"" on 2019-07-25"
WBGene00002979,3.614230606,7.44e-59,WBGene00002979,WBGene00002979,History: N.A.
WBGene00018530,3.605104117,1.91e-63,WBGene00018530,WBGene00018530,History: N.A.
WBGene00012859,3.604713421,4.58e-45,WBGene00012859,WBGene00012859,History: N.A.
WBGene00019967,3.60381229,4.06e-36,WBGene00019967,WBGene00019967,History: N.A.
WBGene00200885,3.601452032,2.32e-12,WBGene00200885,WBGene00200885,History: N.A.
WBGene00019096,3.598491907,4.98e-34,WBGene00019096,WBGene00019096,History: N.A.
WBGene00016647,3.591964405,5.57e-12,WBGene00016647,WBGene00016647,"History: Split into fbxc-11(WBGene00045299). History of WBGene00016647: Split into ""WBGene00045299"" on 2007-02-28"
WBGene00013825,3.586075862,6.99e-50,WBGene00013825,WBGene00013825,History: N.A.
WBGene00011668,3.583635031,4.58e-37,WBGene00011668,WBGene00011668,History: N.A.
WBGene00001924,3.576741446,1.39e-50,WBGene00001924,WBGene00001924,History: N.A.
WBGene00000988,3.576198356,8.37e-40,WBGene00000988,WBGene00000988,History: N.A.
WBGene00001902,3.57332535,1.8e-51,WBGene00001902,WBGene00001902,History: N.A.
WBGene00001920,3.545475458,9.67e-77,WBGene00001920,WBGene00001920,History: N.A.
WBGene00002206,3.540166233,2.13e-78,WBGene00002206,WBGene00002206,History: N.A.
WBGene00001918,3.539879619,6.67e-77,WBGene00001918,WBGene00001918,History: N.A.
WBGene00018199,3.525732464,2.36e-95,WBGene00018199,WBGene00018199,History: N.A.
WBGene00001930,3.52571086,6.97e-85,WBGene00001930,WBGene00001930,History: N.A.
WBGene00012592,3.518518774,2.28e-80,WBGene00012592,WBGene00012592,History: N.A.
WBGene00009259,3.51809883,6.11e-113,WBGene00009259,WBGene00009259,History: N.A.
WBGene00001884,3.51125783,5.83e-58,WBGene00001884,WBGene00001884,History: N.A.
WBGene00008205,3.510087591,8.049999999999998e-115,WBGene00008205,WBGene00008205,History: Renamed on 2016-06-14
WBGene00022819,3.508783202,4.44e-11,WBGene00022819,WBGene00022818,"History: Merged into ""WBGene00022818"" on 2017-03-03"
