# genelist,criteria,,,
# All CSR-1 targets ≥ 1 RPM,≥ 1 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets 1-50 RPM ,1- 50 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets  50-150 RPM,50-150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets ≥ 150 RPM,≥ 150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 protected targets,log2FC ≤ -0.5 in GRO-seq CSR-1 KO vs CSR-1 ADH,,,
# CSR-1 sliced targets,log2FC ≥1 in RNA-seq CSR-1 ADH vs WT and log2FC ≤-1 total sRNAs CSR-1 ADH vs WT for CSR-1 targets,,,
# HRDE-1 loaded P granule dependent piRNA targets,"≥ 1 RPM in IP and log2FC (IP/Input) ≥ 0.5 AND log2FC (P granule RNAi/control) ≤ -2 AND piRNA-dependent 22G-RNA protein-coding targets (Barucci et.al., 2020)",,,
# gene list used for RSCU based on translation efficiency,,,,
Log2 TE ≤ -1,Unnamed: 1,Input,Suggested Match,History
WBGene00016373,,WBGene00016373,WBGene00016373,History: N.A.
WBGene00020020,,WBGene00020020,WBGene00020020,History: N.A.
WBGene00007584,,WBGene00007584,WBGene00007584,History: N.A.
WBGene00008275,,WBGene00008275,WBGene00008275,History: Renamed on 2019-09-11
WBGene00016516,,WBGene00016516,WBGene00016516,History: N.A.
WBGene00004215,,WBGene00004215,WBGene00004215,History: Renamed on 2015-07-01
WBGene00013357,,WBGene00013357,WBGene00013357,History: N.A.
WBGene00016357,,WBGene00016357,WBGene00016357,History: N.A.
WBGene00013702,,WBGene00013702,WBGene00013702,History: N.A.
WBGene00011378,,WBGene00011378,WBGene00011378,History: N.A.
WBGene00009592,,WBGene00009592,WBGene00009592,History: N.A.
WBGene00008991,,WBGene00008991,WBGene00008991,History: N.A.
WBGene00001439,,WBGene00001439,WBGene00001439,History: N.A.
WBGene00018594,,WBGene00018594,WBGene00018594,History: N.A.
WBGene00009190,,WBGene00009190,WBGene00009190,History: N.A.
WBGene00017829,,WBGene00017829,WBGene00017829,History: N.A.
WBGene00017985,,WBGene00017985,WBGene00017985,History: N.A.
WBGene00004954,,WBGene00004954,WBGene00004954,History: N.A.
WBGene00004111,,WBGene00004111,WBGene00004111,History: N.A.
WBGene00044158,,WBGene00044158,WBGene00044158,History: N.A.
WBGene00019095,,WBGene00019095,WBGene00019095,History: N.A.
WBGene00011970,,WBGene00011970,WBGene00011970,History: N.A.
WBGene00001985,,WBGene00001985,WBGene00001985,History: N.A.
WBGene00016402,,WBGene00016402,WBGene00016402,History: N.A.
WBGene00003396,,WBGene00003396,WBGene00003396,History: N.A.
WBGene00008148,,WBGene00008148,WBGene00008148,History: N.A.
WBGene00013261,,WBGene00013261,WBGene00013261,History: N.A.
WBGene00021082,,WBGene00021082,WBGene00021082,History: N.A.
WBGene00006618,,WBGene00006618,WBGene00006618,History: N.A.
WBGene00020114,,WBGene00020114,WBGene00020114,History: N.A.
WBGene00019010,,WBGene00019010,WBGene00019010,History: N.A.
WBGene00009948,,WBGene00009948,WBGene00009948,History: N.A.
WBGene00009272,,WBGene00009272,WBGene00009272,History: N.A.
WBGene00018235,,WBGene00018235,WBGene00018235,History: N.A.
WBGene00011858,,WBGene00011858,WBGene00011858,History: N.A.
WBGene00019806,,WBGene00019806,WBGene00019806,History: N.A.
WBGene00021841,,WBGene00021841,WBGene00021841,History: N.A.
WBGene00015670,,WBGene00015670,WBGene00015670,History: N.A.
WBGene00019879,,WBGene00019879,WBGene00019879,History: N.A.
WBGene00015421,,WBGene00015421,WBGene00015421,History: N.A.
WBGene00019606,,WBGene00019606,WBGene00019606,History: Renamed on 2006-06-15
WBGene00021766,,WBGene00021766,WBGene00021766,History: N.A.
WBGene00000150,,WBGene00000150,WBGene00000150,History: Renamed on 2015-03-05
WBGene00000094,,WBGene00000094,WBGene00000094,History: N.A.
WBGene00022791,,WBGene00022791,WBGene00022791,History: N.A.
WBGene00022221,,WBGene00022221,WBGene00022221,History: N.A.
WBGene00003912,,WBGene00003912,WBGene00003912,History: N.A.
WBGene00013686,,WBGene00013686,WBGene00013682,"History: Merged into ""WBGene00013682"" on 2014-10-09"
WBGene00020467,,WBGene00020467,WBGene00020467,History: N.A.
WBGene00019562,,WBGene00019562,WBGene00019562,History: N.A.
WBGene00014158,,WBGene00014158,WBGene00014158,History: N.A.
WBGene00007255,,WBGene00007255,WBGene00007255,History: N.A.
WBGene00010546,,WBGene00010546,WBGene00010546,History: N.A.
WBGene00022586,,WBGene00022586,WBGene00022586,History: N.A.
WBGene00013682,,WBGene00013682,WBGene00013682,History: N.A.
WBGene00009513,,WBGene00009513,WBGene00009513,History: N.A.
WBGene00013303,,WBGene00013303,WBGene00013303,History: N.A.
WBGene00007580,,WBGene00007580,WBGene00007580,History: N.A.
WBGene00008349,,WBGene00008349,WBGene00008349,History: N.A.
WBGene00194912,,WBGene00194912,WBGene00194912,History: N.A.
WBGene00004985,,WBGene00004985,WBGene00004985,History: N.A.
WBGene00009277,,WBGene00009277,WBGene00009277,History: N.A.
WBGene00000564,,WBGene00000564,WBGene00000564,History: N.A.
WBGene00015187,,WBGene00015187,WBGene00015188,"History: Merged into ""WBGene00015188"" on 2015-04-30"
WBGene00019464,,WBGene00019464,WBGene00019464,History: N.A.
WBGene00044325,,WBGene00044325,WBGene00044325,History: N.A.
WBGene00009123,,WBGene00009123,WBGene00009123,History: N.A.
WBGene00020864,,WBGene00020864,WBGene00020864,History: N.A.
WBGene00004360,,WBGene00004360,WBGene00004360,History: N.A.
WBGene00044650,,WBGene00044650,WBGene00044650,History: N.A.
WBGene00008648,,WBGene00008648,WBGene00008648,History: N.A.
WBGene00005026,,WBGene00005026,WBGene00005026,History: N.A.
WBGene00021820,,WBGene00021820,WBGene00021820,History: N.A.
WBGene00021634,,WBGene00021634,WBGene00021634,History: N.A.
WBGene00012010,,WBGene00012010,WBGene00012010,History: N.A.
WBGene00007978,,WBGene00007978,WBGene00007978,History: N.A.
WBGene00043051,,WBGene00043051,WBGene00043051,History: N.A.
WBGene00011242,,WBGene00011242,WBGene00011242,History: N.A.
WBGene00020375,,WBGene00020375,WBGene00020375,History: Renamed on 2013-11-11
WBGene00000019,,WBGene00000019,WBGene00000019,History: N.A.
WBGene00001393,,WBGene00001393,WBGene00001393,History: N.A.
WBGene00006732,,WBGene00006732,WBGene00006732,History: N.A.
WBGene00014004,,WBGene00014004,WBGene00014004,History: N.A.
WBGene00016159,,WBGene00016159,WBGene00016159,History: N.A.
WBGene00001606,,WBGene00001606,WBGene00001606,History: N.A.
WBGene00000163,,WBGene00000163,WBGene00000163,History: N.A.
WBGene00010542,,WBGene00010542,WBGene00010542,History: N.A.
WBGene00017996,,WBGene00017996,WBGene00017996,History: N.A.
WBGene00022212,,WBGene00022212,WBGene00022211,"History: Merged into ""WBGene00022211"" on 2015-10-02"
WBGene00013734,,WBGene00013734,WBGene00013734,History: N.A.
WBGene00022534,,WBGene00022534,WBGene00022534,History: Renamed on 2012-10-09
WBGene00003898,,WBGene00003898,WBGene00003898,History: N.A.
WBGene00001645,,WBGene00001645,WBGene00001645,History: N.A.
WBGene00007710,,WBGene00007710,WBGene00007710,History: N.A.
WBGene00011352,,WBGene00011352,WBGene00011352,History: N.A.
WBGene00017548,,WBGene00017548,WBGene00017548,History: N.A.
WBGene00008219,,WBGene00008219,WBGene00008219,History: N.A.
WBGene00008120,,WBGene00008120,WBGene00008120,History: N.A.
WBGene00018923,,WBGene00018923,WBGene00018923,History: N.A.
WBGene00006466,,WBGene00006466,WBGene00006466,History: N.A.
WBGene00007573,,WBGene00007573,WBGene00007573,History: N.A.
