Gene ID,Public Name,Ancestral hyperaccumulator,wt_1,wt_2,wt_3,prg-1_1,prg-1_2,prg-1_3,Fold change at gen 50,adjusted P value,Input,Suggested Match,History
B0035.10,his-45,yes,18.37,23.16,22.72,549.08,743.47,469.07,27.57,2.8400000000000005e-79,B0035.10,WBGene00001919,Sequence name for WBGene00001919(his-45). History: N.A.
B0035.7,his-47,yes,26.38,32.66,35.61,6891.17,5975.12,4077.02,179.78,7.61e-182,B0035.7,WBGene00001921,Sequence name for WBGene00001921(his-47). History: N.A.
B0035.8,his-48,yes,13.66,15.44,15.96,329.23,478.01,329.21,25.33,1.03e-58,B0035.8,WBGene00001922,Sequence name for WBGene00001922(his-48). History: N.A.
B0035.9,his-46,yes,39.57,44.53,45.44,140.79,654.98,387.25,9.14,2.56e-11,B0035.9,WBGene00001920,Sequence name for WBGene00001920(his-46). History: N.A.
B0047.4,math-1,yes,218.08,112.22,124.65,712.62,807.33,1138.9,5.84,1.36e-13,B0047.4,WBGene00015015,Sequence name for WBGene00015015(math-1). History: N.A.
B0207.12,avr-14,yes,3.3,6.53,4.91,15.16,13.68,79.92,7.42,0.00296,B0207.12,WBGene00000232,Sequence name for WBGene00000232(avr-14). History: N.A.
B0348.5,B0348.5,yes,50.87,231.57,155.35,8.66,2.74,0,-38.78,0.000668,B0348.5,WBGene00015153,Sequence name for WBGene00015153(idpp-2). History: N.A.
B0454.9,lido-13,yes,44.75,46.91,41.14,1254.12,18.24,1446.22,20.47,6.9e-05,B0454.9,WBGene00015200,Sequence name for WBGene00015200(lido-13). History: N.A.
BE0003N10.3,BE0003N10.3,yes,3.3,7.13,7.98,180.86,80.28,19.98,15.37,2.47e-06,BE0003N10.3,WBGene00015268,"Public name for WBGene00015268. History: Split into BE0003N10.6(WBGene00255598). History of WBGene00015268: Split into ""WBGene00255598"" on 2014-10-09"
C01B4.7,C01B4.7,yes,142.25,132.41,138.16,2010.06,3.65,2408.15,10.71,0.00438,C01B4.7,WBGene00015271,Public name for WBGene00015271. History: N.A.
C02B10.6,C02B10.6,yes,2.36,0.59,0.61,20.58,30.1,8.56,15.81,7.59e-06,C02B10.6,WBGene00015331,Public name for WBGene00015331. History: N.A.
C02C2.5,sup-18,yes,2.83,2.97,2.46,1798.87,3801.27,2715.47,1005.5,3.46e-88,C02C2.5,WBGene00015334,Sequence name for WBGene00015334(sup-18). History: N.A.
C03E10.3,C03E10.3,yes,112.1,65.91,100.7,18.41,23.72,7.61,-5.6,6.22e-07,C03E10.3,WBGene00007281,Public name for WBGene00007281. History: N.A.
C04C3.5,dyf-3,yes,97.03,62.94,124.03,6363.75,5349.33,9185.42,73.6,1.27e-80,C04C3.5,WBGene00001119,"Sequence name for WBGene00001119(dyf-3). History: N.A.. Public name for Dead gene WBGene00015415. History of WBGene00015415: Merged into ""WBGene00001119"" on 2005-08-19"
C04F12.5,C04F12.5,yes,8.95,12.47,13.51,1751.22,3337.86,3705.95,253.6,4.21e-91,C04F12.5,WBGene00007299,Public name for WBGene00007299. History: N.A.
C04G2.8,spch-1,yes,5.18,0.59,0.61,60.65,33.75,29.5,18.1,1.74e-09,C04G2.8,WBGene00007307,Sequence name for WBGene00007307(spch-1). History: N.A.
C06C3.12,C06C3.12,yes,0,0.59,0.61,14.08,10.95,20.93,40.89,5.97e-05,C06C3.12,WBGene00175031,Public name for WBGene00175031. History: N.A.
C08B6.8,C08B6.8,yes,56.99,44.53,58.33,16.25,15.51,22.84,-2.93,8.36e-07,C08B6.8,WBGene00007429,Public name for WBGene00007429. History: N.A.
