Gene name,log2FoldChange,Adjusted p-value,Input,Suggested Match,History
WBGene00202343,4.603935242,1.3e-28,WBGene00202343,WBGene00202343,History: N.A.
WBGene00012647,4.507640351,6.6e-51,WBGene00012647,WBGene00012647,History: N.A.
WBGene00018781,4.485747649,1.73e-67,WBGene00018781,WBGene00018781,History: N.A.
WBGene00016966,4.41873605,1.81e-72,WBGene00016966,WBGene00016966,History: N.A.
WBGene00017210,4.404354979,2.9299999999999993e-68,WBGene00017210,WBGene00017210,History: N.A.
WBGene00044323,4.19293129,3.38e-75,WBGene00044323,WBGene00044323,History: N.A.
WBGene00044439,4.128259472,9.83e-65,WBGene00044439,WBGene00044439,History: N.A.
WBGene00021721,4.074639901,1.8e-46,WBGene00021721,WBGene00021721,History: N.A.
WBGene00016524,4.018570332,2.81e-72,WBGene00016524,WBGene00016524,History: N.A.
WBGene00021189,3.986885065,4.6300000000000003e-57,WBGene00021189,,History: Killed on 2018-11-14. Remark: 192mer repeat region only
WBGene00010583,3.98213659,3.9e-69,WBGene00010583,WBGene00010583,History: N.A.
WBGene00022303,3.95292237,8.76e-15,WBGene00022303,WBGene00022303,History: N.A.
WBGene00006730,3.939309171,9.64e-50,WBGene00006730,WBGene00006730,History: N.A.
WBGene00011391,3.936151408,7.08e-60,WBGene00011391,WBGene00011391,History: N.A.
WBGene00022450,3.835688452,5e-42,WBGene00022450,WBGene00022450,History: N.A.
WBGene00001372,3.820830327,1.47e-76,WBGene00001372,WBGene00001372,History: N.A.
WBGene00001977,3.820280062,1.5e-108,WBGene00001977,WBGene00001977,History: N.A.
WBGene00015186,3.819978358,3.94e-74,WBGene00015186,WBGene00015186,History: Renamed on 2016-04-27
WBGene00044204,3.801886922,1.54e-50,WBGene00044204,WBGene00044204,History: N.A.
WBGene00016390,3.794282705,1.2099999999999997e-54,WBGene00016390,WBGene00016390,History: N.A.
WBGene00008934,3.77673445,3.0399999999999997e-61,WBGene00008934,WBGene00008934,History: N.A.
WBGene00001154,3.764405326,1.5000000000000002e-38,WBGene00001154,WBGene00001154,History: N.A.
WBGene00016741,3.746234675,8.8e-79,WBGene00016741,WBGene00016741,History: N.A.
WBGene00044638,3.735475603,3.3299999999999995e-42,WBGene00044638,WBGene00044638,History: N.A.
WBGene00021596,3.727327531,4.75e-48,WBGene00021596,WBGene00021596,History: N.A.
WBGene00018327,3.720038922,2.08e-37,WBGene00018327,WBGene00018327,History: N.A.
WBGene00003218,3.718076054,1.77e-104,WBGene00003218,WBGene00003218,History: N.A.
WBGene00009444,3.708138961,1.2e-12,WBGene00009444,WBGene00009444,History: N.A.
WBGene00004919,3.675000016,7.08e-60,WBGene00004919,WBGene00004919,History: N.A.
WBGene00220015,3.629665673,1.11e-46,WBGene00220015,WBGene00220015,History: N.A.
WBGene00022386,3.611017971,7.079999999999999e-24,WBGene00022386,WBGene00022386,History: N.A.
WBGene00201383,3.605235534,2.8e-15,WBGene00201383,WBGene00201383,History: N.A.
WBGene00016607,3.604540632,9.3e-59,WBGene00016607,WBGene00016607,History: N.A.
WBGene00010480,3.604004414,2.81e-72,WBGene00010480,WBGene00010480,History: N.A.
WBGene00044077,3.597444303,2e-80,WBGene00044077,WBGene00044077,History: Renamed on 2019-07-15
WBGene00201786,3.595582404,3.5e-18,WBGene00201786,WBGene00201786,History: N.A.
WBGene00006381,3.594871741,4.4e-88,WBGene00006381,WBGene00006381,History: N.A.
WBGene00013688,3.587651183,6.7e-79,WBGene00013688,WBGene00013688,History: N.A.
WBGene00015515,3.582093089,2.27e-77,WBGene00015515,WBGene00015515,History: N.A.
WBGene00008532,3.569323666,1.38e-59,WBGene00008532,WBGene00008532,History: N.A.
WBGene00019833,3.561505872,7.689999999999999e-42,WBGene00019833,WBGene00019833,History: N.A.
WBGene00013529,3.559229613,2.69e-46,WBGene00013529,WBGene00013529,History: Renamed on 2021-12-09
WBGene00000763,3.556253217,2.9299999999999993e-68,WBGene00000763,WBGene00000763,History: N.A.
WBGene00010056,3.549209864,2.68e-86,WBGene00010056,WBGene00010056,History: N.A.
WBGene00008688,3.537130502,1.38e-41,WBGene00008688,WBGene00008688,History: N.A.
WBGene00220155,3.525525057,1.32e-24,WBGene00220155,WBGene00220155,History: N.A.
WBGene00013168,3.518535222,6.76e-71,WBGene00013168,WBGene00013168,History: N.A.
WBGene00017928,3.510192802,1.23e-54,WBGene00017928,WBGene00017928,History: N.A.
WBGene00011282,3.498788316,2.27e-74,WBGene00011282,WBGene00011282,History: N.A.
WBGene00195246,3.494819757,1.11e-18,WBGene00195246,WBGene00195246,History: N.A.
WBGene00009918,3.465473525,3.11e-34,WBGene00009918,WBGene00009918,History: N.A.
WBGene00006440,3.464427762,3.45e-85,WBGene00006440,WBGene00006440,History: Renamed on 2021-04-19
WBGene00219619,3.46115721,1.33e-26,WBGene00219619,WBGene00219619,History: N.A.
WBGene00020970,3.457889727,2.05e-33,WBGene00020970,WBGene00020970,History: N.A.
WBGene00013553,3.448828873,4.83e-27,WBGene00013553,WBGene00013553,History: N.A.
WBGene00019005,3.440195773,3.84e-28,WBGene00019005,WBGene00019005,History: N.A.
WBGene00013804,3.43826565,1.1e-39,WBGene00013804,WBGene00013804,History: N.A.
WBGene00003076,3.429468407,3.1599999999999998e-62,WBGene00003076,WBGene00003076,History: N.A.
WBGene00010624,3.421422178,9.38e-49,WBGene00010624,WBGene00010624,History: N.A.
WBGene00001005,3.410284737,1.57e-09,WBGene00001005,WBGene00001005,History: N.A.
WBGene00021186,3.401611209,1.84e-50,WBGene00021186,WBGene00021186,History: N.A.
WBGene00021759,3.39802468,1.6199999999999996e-34,WBGene00021759,WBGene00021752,"History: Merged into ""WBGene00021752"" on 2017-11-24"
WBGene00185088,3.377384609,4.79e-47,WBGene00185088,WBGene00185088,History: N.A.
WBGene00017304,3.370812436,2.5300000000000006e-21,WBGene00017304,WBGene00017304,History: N.A.
WBGene00011043,3.369845379,8.01e-70,WBGene00011043,WBGene00011043,History: N.A.
WBGene00220153,3.367249756,2.03e-13,WBGene00220153,WBGene00220153,History: N.A.
WBGene00001599,3.358858665,9.77e-69,WBGene00001599,WBGene00001599,History: N.A.
WBGene00006571,3.356879709,4.45e-68,WBGene00006571,WBGene00006571,History: N.A.
WBGene00012643,3.353211718,1.38e-42,WBGene00012643,WBGene00012643,History: N.A.
WBGene00011562,3.350729722,1.22e-83,WBGene00011562,WBGene00011562,"History: Split into ""WBGene00044098"" on 2005-02-03"
WBGene00206507,3.350230558,6.68e-49,WBGene00206507,WBGene00206507,History: N.A.
WBGene00009013,3.342286174,1.2400000000000001e-33,WBGene00009013,WBGene00009013,History: N.A.
WBGene00022794,3.338366256,3.9e-66,WBGene00022794,WBGene00022794,"History: Split into ZK686.6(WBGene00044799). History of WBGene00022794: Split into ""WBGene00044799"" on 2006-04-21"
WBGene00001431,3.329337711,2.36e-66,WBGene00001431,WBGene00001431,History: N.A.
WBGene00020030,3.328774694,4.94e-53,WBGene00020030,WBGene00020030,History: N.A.
WBGene00004914,3.328489033,9.47e-49,WBGene00004914,WBGene00004914,History: N.A.
WBGene00022489,3.315961037,1.27e-52,WBGene00022489,WBGene00022489,History: N.A.
WBGene00013741,3.303062774,9.35e-16,WBGene00013741,WBGene00013741,History: N.A.
WBGene00008457,3.300552317,1.32e-30,WBGene00008457,WBGene00008457,History: N.A.
WBGene00003660,3.29753128,1.8499999999999999e-28,WBGene00003660,WBGene00003660,History: N.A.
WBGene00019678,3.294930087,2.7799999999999993e-40,WBGene00019678,WBGene00019678,History: N.A.
WBGene00004179,3.294141534,1.5600000000000002e-79,WBGene00004179,WBGene00004179,History: Renamed on 2007-11-05
WBGene00013724,3.293713485,3.4800000000000003e-47,WBGene00013724,WBGene00013724,History: N.A.
WBGene00017919,3.290377852,2.41e-28,WBGene00017919,WBGene00017919,History: N.A.
WBGene00010037,3.288261009,1.32e-73,WBGene00010037,WBGene00010037,History: N.A.
WBGene00019825,3.28548921,5.92e-27,WBGene00019825,WBGene00019825,History: N.A.
WBGene00003951,3.271318512,6.18e-59,WBGene00003951,WBGene00003951,History: N.A.
WBGene00003825,3.263925219,3.67e-52,WBGene00003825,WBGene00003825,History: N.A.
WBGene00006503,3.263280663,4.06e-33,WBGene00006503,WBGene00006503,History: Renamed on 2007-07-20
WBGene00022453,3.261959292,1e-53,WBGene00022453,WBGene00022453,History: N.A.
WBGene00004916,3.261417719,1.16e-42,WBGene00004916,WBGene00004916,History: N.A.
WBGene00019458,3.25573933,6.3e-41,WBGene00019458,WBGene00019458,History: N.A.
WBGene00007762,3.254529077,2.28e-70,WBGene00007762,WBGene00007762,History: N.A.
WBGene00010178,3.248104834,1.46e-29,WBGene00010178,WBGene00010178,History: N.A.
WBGene00001862,3.247874714,3.35e-57,WBGene00001862,WBGene00001862,History: N.A.
WBGene00013150,3.247785001,4.15e-35,WBGene00013150,WBGene00013150,History: N.A.
WBGene00022399,3.235001668,3.0399999999999997e-61,WBGene00022399,WBGene00022399,History: N.A.
WBGene00007332,3.232736772,1.63e-35,WBGene00007332,WBGene00007332,History: N.A.
WBGene00219279,3.229411857,1.93e-30,WBGene00219279,WBGene00219279,History: N.A.
WBGene00007500,3.226805607,3.58e-57,WBGene00007500,WBGene00007500,History: N.A.
WBGene00013231,3.223735534,8.56e-37,WBGene00013231,WBGene00013231,History: N.A.
WBGene00018762,3.219442399,8.96e-52,WBGene00018762,WBGene00018762,History: N.A.
WBGene00022046,3.215656238,6.88e-61,WBGene00022046,WBGene00022046,History: N.A.
WBGene00018509,3.214428225,1.2e-57,WBGene00018509,WBGene00018509,History: N.A.
WBGene00011411,3.213795424,3.36e-38,WBGene00011411,WBGene00011411,History: N.A.
