Gene name,Sample 1,Sample 2,log2FoldChange,adjusted p-value,Input,Suggested Match,History
WBGene00016164,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,4.49273575479209,7.94868595422752e-31,WBGene00016164,WBGene00016164,History: N.A.
WBGene00000638,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,4.46580781867476,1.14293378168955e-28,WBGene00000638,WBGene00000638,History: N.A.
WBGene00006926,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,4.18320393774041,2.17728458043945e-53,WBGene00006926,WBGene00006926,History: N.A.
WBGene00006927,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,4.18087498279887,6.42700619118326e-52,WBGene00006927,WBGene00006927,History: N.A.
WBGene00001736,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,4.00105860017271,5.24543854527609e-29,WBGene00001736,WBGene00001736,History: N.A.
WBGene00007508,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,3.83509870501747,1.22628968110186e-45,WBGene00007508,WBGene00007508,History: N.A.
WBGene00018718,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,3.6438673179111,2.80273753471851e-106,WBGene00018718,WBGene00018718,History: N.A.
WBGene00019717,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,3.49999723100627,2.28928935688254e-68,WBGene00019717,WBGene00019717,History: N.A.
WBGene00006930,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,3.40762995912681,1.1392303686734e-34,WBGene00006930,WBGene00006930,History: N.A.
WBGene00012961,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,3.35404652664805,9.77223635179477e-54,WBGene00012961,WBGene00012961,History: N.A.
WBGene00020413,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,3.28997568882454,3.9818544563311095e-34,WBGene00020413,WBGene00020413,History: N.A.
WBGene00007149,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,3.26185193893992,2.87723480876835e-22,WBGene00007149,WBGene00007149,History: N.A.
WBGene00002018,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,3.2542257829543,4.909949463069031e-23,WBGene00002018,WBGene00002018,History: N.A.
WBGene00219376,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,3.10933779009535,2.01131996047915e-24,WBGene00219376,WBGene00219376,History: N.A.
WBGene00000735,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,3.0986892178491,6.13083445689203e-30,WBGene00000735,WBGene00000735,History: N.A.
WBGene00016636,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,3.09353313362877,2.53593903398424e-21,WBGene00016636,WBGene00016636,History: N.A.
WBGene00010065,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,3.06850836111779,3.48143143173198e-13,WBGene00010065,WBGene00010065,History: N.A.
WBGene00045271,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,3.05626971823243,3.63671948324563e-14,WBGene00045271,WBGene00045271,History: N.A.
WBGene00007823,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,3.02661958900053,4.71130626803471e-36,WBGene00007823,WBGene00007823,History: N.A.
WBGene00021690,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,3.02258551993305,4.59371754434474e-29,WBGene00021690,WBGene00021690,History: N.A.
WBGene00010007,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,3.01678787082841,1.41754991823695e-17,WBGene00010007,WBGene00010007,History: N.A.
WBGene00000666,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,3.01079686115333,3.18713154336142e-17,WBGene00000666,WBGene00000666,History: N.A.
WBGene00000698,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,3.00968853824701,4.64496737912553e-19,WBGene00000698,WBGene00000698,History: N.A.
WBGene00001544,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,2.99192858671156,1.35542556372272e-29,WBGene00001544,WBGene00001544,History: N.A.
WBGene00001703,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,2.94267218170253,2.4319486635275897e-33,WBGene00001703,WBGene00001703,History: N.A.
WBGene00011000,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,2.94213846336034,5.7077156425738e-14,WBGene00011000,WBGene00011000,History: N.A.
WBGene00000725,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,2.92753846115771,1.19976222197194e-16,WBGene00000725,WBGene00000725,History: N.A.
WBGene00000707,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,2.9021393308192,4.03017488414869e-27,WBGene00000707,WBGene00000707,History: N.A.
WBGene00003763,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,2.89034807133603,1.2032733453006802e-15,WBGene00003763,WBGene00003763,History: N.A.
WBGene00000734,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,2.8899992025259,4.06316705984731e-27,WBGene00000734,WBGene00000734,History: N.A.
WBGene00020803,wild-type - 20ºC,csr-1a(cmp143) - 20ºC,2.82317844312701,3.91177422302585e-13,WBGene00020803,WBGene00020803,History: N.A.
