,Gene,References,r
0,C55C3.3,1,0.016365183928940034
1,timm-17B.2,3,0.014875672760516958
2,Y20F4.4,0,0.013482577324702176
3,C08F11.7,0,0.01254354103873612
4,E01G4.5,3,0.012041426886319083
5,ZK402.3,0,0.011922030868868496
6,C09G5.7,1,0.011835205683579975
7,hrde-1,71,0.011708647601142312
8,C18D4.6,0,0.011666623029641585
9,R06C1.4,3,0.01160219325582337
10,C38D9.2,2,0.011535465450801157
11,F15D4.5,1,0.011520024618864682
12,T16G12.4,0,0.01088894591660049
13,fbxb-97,0,0.01071691816052106
14,W04B5.1,1,0.010294532393171399
15,spe-41,23,0.010222191549869504
16,scrm-4,10,0.009836757262417232
17,F39E9.7,2,0.009791975648111408
18,K02E2.6,3,0.009702678767687491
19,W04B5.2,0,0.009596503398656916
20,rnh-1.3,7,0.0094974040132627
21,bath-45,0,0.009445617680723157
22,F58H7.5,0,0.008363155027846349
23,W09B7.2,0,0.006194412647184276
24,W09B7.1,0,0.0032141696826518055
